gpu_name,manufacturer,benchmark_score
RX 580 2048SP,AMD,7768
T1000 8GB,Unknown,7760
Pro 580,AMD,7753
RX 5300,AMD,7611
Pro 580X,AMD,7540
Pro 5300,AMD,7522
Tesla M6,NVIDIA,7509
GTX 1650 Ti,NVIDIA,7490
Ryzen 7 5800HS with Radeon,AMD,7391
FirePro W8100,AMD,7327
RadeonT RX 5300,AMD,7321
GTX 980M,NVIDIA,7317
Tesla P100 PCIE 16GB,NVIDIA,7225
Quadro T2000,NVIDIA,7169
RX 5600M,AMD,7157
Quadro P2000,NVIDIA,7096
Ryzen 7 4800HS with Radeon,AMD,6999
GTX 1650 (Mobile),NVIDIA,6969
RX 6400,AMD,6958
Quadro T2000 with Max Q Design,NVIDIA,6871
Quadro M5000M,NVIDIA,6807
Pro 5500M,AMD,6763
RX Vega M GH,AMD,6734
T600 Laptop GPU,Unknown,6725
GTX 970XM FORCE,NVIDIA,6707
R9 285,AMD,6680
Quadro T1000 with Max Q Design,NVIDIA,6589
Quadro P3000,NVIDIA,6572
Quadro M4000M,NVIDIA,6530
Quadro T1000,NVIDIA,6513
T600,Unknown,6509
GTX 1650 Ti with Max Q Design,NVIDIA,6342
Pro 570,AMD,6337
GTX 1050 Ti,NVIDIA,6314
FirePro S7150,AMD,6276
Pro WX Vega M GL,AMD,6049
GTX 960,NVIDIA,6042
P106 100,Unknown,5967
GTX 1050 Ti (Mobile),NVIDIA,5919
PRO W6400,AMD,5916
GTX 1650 with Max Q Design,NVIDIA,5884
Pro 5300M,AMD,5840
A16,Unknown,5797
GTX 970M,NVIDIA,5761
Pro WX 7130,AMD,5722
Quadro M3000M,NVIDIA,5678
Tesla K20m,NVIDIA,5675
A40 12Q,Unknown,5573
R9 285 / 380,AMD,5550
Pro WX 5100,AMD,5511
Tesla K20Xm,NVIDIA,5428
GTX 760 Ti OEM,NVIDIA,5427
GTX 950,NVIDIA,5392
GTX 1050 Ti with Max Q Design,NVIDIA,5372
HD 7970 / R9 280X,AMD,5248
HD 8990,AMD,5214
GTX 760 Ti,NVIDIA,5206
Ryzen 7 4800H,AMD,5178
FirePro W7100,AMD,5175
Q12U 1,Unknown,5164
R9 M295X,AMD,5150
Pro Vega 20,AMD,5117
MX550,NVIDIA,5090
Ryzen 9 5900HS with Radeon,AMD,5049
T550 Laptop GPU,Unknown,5000
R9 M395,AMD,4991
EIZO Quadro MED XN51LP,NVIDIA,4955
Barco MXRT 7600,Unknown,4944
GRID RTX6000P 6Q,NVIDIA,4777
R9 M395X,AMD,4775
HD 7950 / R9 280,AMD,4765
R9 370,AMD,4722
Pro Vega 16,AMD,4683
Quadro P2000 with Max Q Design,NVIDIA,4597
B8DKMDAP,Unknown,4557
Pro 465,AMD,4538
Quadro P1000,NVIDIA,4466
GTX 1050 (Mobile),NVIDIA,4462
P104 100,Unknown,4450
Citrix Indirect Display Adapter,Unknown,4447
Quadro M2200,NVIDIA,4342
FirePro W7000 Adapter,AMD,4340
GRID GTX P40 6,NVIDIA,4340
Barco MXRT 7500,Unknown,4319
GRID RTX6000P 4Q,NVIDIA,4283
R9 270 / R7 370,AMD,4260
GTX 775M,NVIDIA,4208
GRID V100D 8Q,Unknown,4156
RX 460,AMD,4114
HD 7800 serie,AMD,4029
RX 5500M,AMD,4010
GRID RTX8000 4Q,NVIDIA,3961
Quadro M2000,NVIDIA,3942
T400 4GB,Unknown,3887
Quadro K2200M,NVIDIA,3877
GTX 880M,NVIDIA,3876
GRID RTX8000P 2Q,NVIDIA,3843
GTX 965M,NVIDIA,3824
GTX 1050 with Max Q Design,NVIDIA,3785
Pro WX 4100,AMD,3766
MX450,NVIDIA,3743
Pro 560X,AMD,3678
Quadro P620,NVIDIA,3640
T400,Unknown,3627
T500,Unknown,3597
RX 560,AMD,3594
GRID RTX8000 2Q,NVIDIA,3574
GTX 680M KY Bullet Edition,NVIDIA,3569
RX 5300M,AMD,3562
Quadro M2000M,NVIDIA,3539
Quadro 7000,NVIDIA,3505
Tesla M10,NVIDIA,3490
Pro 560,AMD,3475
Pro 460,AMD,3453
Tesla C2050 / C2070,NVIDIA,3428
GTX 960M,NVIDIA,3419
R9 M470X,AMD,3400
GRID K520,Unknown,3399
GTX 870M,NVIDIA,3380
HD8970M,AMD,3369
E8870PCIe,AMD,3368
Quadro M1200,NVIDIA,3342
GTX 650 Ti BOOST,NVIDIA,3330
Quadro P600,NVIDIA,3324
RX Vega M GL,AMD,3315
770M,NVIDIA,3246
R9 M485X,AMD,3204
RX 560X,AMD,3181
RadeonT RX 5500M,AMD,3166
FirePro V7000,AMD,3162
FirePro W7170M,AMD,3162
Pro 555,AMD,3141
Ryzen 9 5900HX,AMD,3126
Pro 455,AMD,3113
G35 Express,Intel,3090
GTX 860M,NVIDIA,3045
EIZO MED X5000,Unknown,3038
R9 360,AMD,3032
R9 M390X,AMD,3021
R9 260,AMD,3018
Quadro M1000M,NVIDIA,2987
Ryzen 9 5900HX with Radeon,AMD,2968
FirePro W5100,AMD,2957
GRID K260Q,Unknown,2949
R9 M380,AMD,2931
Ryzen 7 PRO 4700G with Radeon,AMD,2880
Quadro K1200,NVIDIA,2874
FirePro W4300,AMD,2863
MX350,NVIDIA,2855
Pro V340 MxGPU,AMD,2853
Quadro M620,NVIDIA,2845
GRID K280Q,Unknown,2840
Ryzen 7 5800H with Radeon,AMD,2833
Custom GPU 0405,Unknown,2832
FirePro 3D V9800,AMD,2812
Iris Xe,Intel,2782
Ryzen 7 5700G,AMD,2782
Ryzen 7 PRO 5750GE,AMD,2771
Ryzen 7 5800H,AMD,2759
Quadro K4100M,NVIDIA,2756
Ryzen 9 5900H,AMD,2755
Ryzen 5 4600H,AMD,2747
GRID K2,Unknown,2737
Pro 450,AMD,2723
RX 550,AMD,2718
Ryzen 9 4900H with Radeon,AMD,2714
Ryzen 7 5700G with Radeon,AMD,2709
Barco MXRT 5500,Unknown,2702
Quadro K4000,NVIDIA,2700
Ryzen 5 5600H,AMD,2696
Ryzen 9 4900H,AMD,2685
Ryzen 7 Pro 4750G with Radeon,AMD,2682
Ryzen 7 5700GE with Radeon,AMD,2675
FirePro M6100 FireGL V,AMD,2656
FirePro R5000,AMD,2647
MONSTER GeForce GTX 675M,NVIDIA,2637
Pro WX 3100,AMD,2627
Pro,AMD,2615
Ryzen 7 PRO 5750GE with Radeon,AMD,2613
UHD 770,Intel,2611
Ryzen 7 PRO 4750G,AMD,2604
GTX 950M,NVIDIA,2602
Ryzen 5 5600GE with Radeon,AMD,2602
Ryzen 5 5600G with Radeon,AMD,2595
Ryzen 7 PRO 5750G with Radeon,AMD,2591
Ryzen 7 4700G,AMD,2580
GTX 850M,NVIDIA,2574
Ryzen 7 PRO 4750GE with Radeon,AMD,2550
MX330,NVIDIA,2547
Ryzen 5 5600G,AMD,2545
GRID K240Q,Unknown,2541
UHD P630,Intel,2541
HD 6850 X2,AMD,2534
Ryzen 9 5980HS with Radeon,AMD,2534
N18E Q1,Unknown,2525
MX250,NVIDIA,2515
Ryzen 5 PRO 5650G with Radeon,AMD,2513
Ryzen 7 4700GE,AMD,2508
Ryzen 5 PRO 5650GE with Radeon,AMD,2506
Ryzen 7 4700GE with Radeon,AMD,2496
GTX 950A,NVIDIA,2483
Ryzen 7 5800U with Radeon,AMD,2467
Pro WX 3200,AMD,2456
Ryzen 7 PRO 5850U with Radeon,AMD,2440
FirePro 3D V8800,AMD,2438
Ryzen 5 PRO 4650G,AMD,2418
GTX 960A,NVIDIA,2411
P106 090,Unknown,2402
RX Vega 11 PRD,AMD,2402
Ryzen 3 4300GE with Radeon,AMD,2402
Ryzen 5 Pro 4650G with Radeon,AMD,2395
Ryzen 5 5600H with Radeon,AMD,2387
Ryzen 3 5300GE with Radeon,AMD,2386
RX 550X,AMD,2370
Ryzen 5 PRO 5650GE,AMD,2363
Ryzen 7 4800U with Radeon,AMD,2344
Ryzen 3 PRO 5350G with Radeon,AMD,2341
Ryzen 3 PRO 5350GE with Radeon,AMD,2341
Ryzen 7 PRO 5850U,AMD,2333
Ryzen 7 5800U,AMD,2321
MX150,NVIDIA,2310
Ryzen 3 4300GE,AMD,2306
Ryzen 5 PRO 4400G with Radeon,AMD,2306
Ryzen 7 Microsoft Surface Edition,AMD,2298
Ryzen 7 5700U with Radeon,AMD,2289
R9 M470,AMD,2288
Ryzen 7 4800U,AMD,2273
Pro Ryzen 7 PRO 5850U,AMD,2271
HD 8950,AMD,2267
HD 5870,AMD,2266
HD 5970,AMD,2249
FirePro V8800,AMD,2223
Ryzen 3 5300G with Radeon,AMD,2223
Ryzen 5 PRO 5650G,AMD,2212
HD 7770,AMD,2204
Ryzen 7 PRO 4750GE,AMD,2200
Ryzen 3 Pro 4350G with Radeon,AMD,2190
Ryzen 7 4700G with Radeon,AMD,2187
Ryzen 5 4600G,AMD,2186
RadeonT R7 450,AMD,2185
Ryzen 5 PRO 5650U with Radeon,AMD,2184
Ryzen 3 PRO 4350GE with Radeon,AMD,2181
GTX 745,NVIDIA,2175
Iris Pro P580,Intel,2169
Ryzen 3 PRO 4350G,AMD,2162
Ryzen 5 5600U with Radeon,AMD,2160
Ryzen 7 Extreme Edition,Unknown,2158
Ryzen 7 PRO 5750G,AMD,2154
Ryzen Embedded V2718,AMD,2149
Ryzen 5 PRO 5650U,AMD,2138
Ryzen 7 4850U Mobile,AMD,2138
RX Vega 11,AMD,2137
Quadro P520,NVIDIA,2126
Ryzen 7 4800H with Radeon,AMD,2113
TM R9 A360,AMD,2105
Ryzen 5 Microsoft Surface Edition,AMD,2093
GTX 560 SE,NVIDIA,2087
Ryzen 5 4600G with Radeon,AMD,2062
Ryzen 7 4700U,AMD,2044
Ryzen 5 PRO 4650GE,AMD,2038
Ryzen 7 4700U with Radeon,AMD,2033
Ryzen 7 PRO 4750U with Radeon,AMD,2028
Ryzen 7 PRO 4750U,AMD,2024
R9 M385,AMD,2018
Ryzen 5 5600U,AMD,2015
Pro W5500M,AMD,2010
Quadro M600M,NVIDIA,2008
Ryzen 5 PRO 4500U with Radeon,AMD,2008
R9 350,AMD,2007
GT 645,NVIDIA,2006
Ryzen 5 5500U with Radeon,AMD,2001
Iris Pro 580,Intel,1993
R7 + R7 350 Dual,AMD,1982
Quadro M520,NVIDIA,1981
Ryzen 5 PRO 4650GE with Radeon,AMD,1977
Iris Xe MAX,Intel,1973
HD 5850,AMD,1966
R7 450,AMD,1966
R7 + HD 7700 Dual,AMD,1962
UHD ReleaseInternal,Intel,1959
550,AMD,1959
HD 7660D + HD 7700 Dual,AMD,1958
Ryzen 5 4600U with Radeon,AMD,1951
945M,NVIDIA,1945
Ryzen 5 4600H with Radeon,AMD,1939
Pro WX 4150,AMD,1935
R9 M385X,AMD,1929
RX 570X,AMD,1923
HD 7560D + 7700 Dual,AMD,1919
Matrox C680 PCIe x16,Unknown,1904
Ryzen 3 4300G with Radeon,AMD,1903
HD 7700 serie,AMD,1899
MX130,NVIDIA,1895
HD 8670D + HD 7700 Dual,AMD,1892
MX230,NVIDIA,1884
Pro WX 4130,AMD,1881
FirePro 3D V7800,AMD,1867
GTX 645,NVIDIA,1858
945A,NVIDIA,1852
Iris Plus,Intel,1850
Vega 11,AMD,1847
R9 M375X,AMD,1843
FirePro M5100 FireGL V,AMD,1839
HD 8570D + HD 7700 Dual,AMD,1835
MxGPU,Unknown,1826
FirePro M6000,AMD,1820
Ryzen 5 4500U with Radeon,AMD,1813
Matrox C900 PCIe x16,Unknown,1812
RadeonT RX 560X,AMD,1810
GTX 555,NVIDIA,1807
RadeonT 540X,AMD,1804
Ryzen 5 4600U,AMD,1802
HD 8870M / R9 M270X / M370X,AMD,1800
RX Vega 11 Processor,AMD,1800
Ryzen 5 4500U,AMD,1800
Ryzen 3 PRO 4200G with Radeon,AMD,1799
Embedded Radeon E9173,AMD,1798
Iris 650,Intel,1795
RX 540,AMD,1793
HD 8670D + 7700 Dual,AMD,1789
Ryzen 3 PRO 4200GE with Radeon,AMD,1784
UHD 750,Intel,1775
Iris Plus 655,Intel,1772
GTX 650,NVIDIA,1769
Pro WX 2100,AMD,1755
R9 M360,AMD,1753
FirePro W600,AMD,1752
UHD P750,Intel,1744
Iris Plus 645,Intel,1742
Ryzen 3 5400U with Radeon,AMD,1734
RX Vega11,AMD,1717
Ryzen 3 PRO 4200GE,AMD,1712
HD 6900M,AMD,1710
FirePro M6000 Mobility Pro,AMD,1709
Ryzen 5 PRO 4650U,AMD,1699
HD 7750,AMD,1696
Ryzen 5 PRO 4650U with Radeon,AMD,1696
RX Vega 10,AMD,1694
Qualcomm Adreno 8cx Gen 3,Qualcomm,1670
R7 M380,AMD,1669
Vega 9,AMD,1669
Iris Pro P6300,Intel,1654
HD HD7850M,AMD,1652
E8860,AMD,1626
Ryzen 3 5300U with Radeon,AMD,1626
R7 M465X,AMD,1624
Ryzen 7 2700U with Radeon Vega,AMD,1617
Quadro K2000D,NVIDIA,1614
Quadro P400,NVIDIA,1614
Seria Radeon HD 7700,AMD,1604
Ryzen 3 4300G,AMD,1596
Vega 8,AMD,1593
FirePro M4000 Mobility Pro,AMD,1591
UHD,Intel,1582
Iris Plus 650,Intel,1575
R9 M275X / M375,AMD,1575
Quadro K2000,NVIDIA,1567
RadeonT RX 640,AMD,1565
Vega 10,AMD,1557
Ryzen 3 PRO 5450U with Radeon,AMD,1556
Firepro W5170M,AMD,1555
HD 7560D + HD 6670 Dual,AMD,1555
UHD 730,Intel,1553
RX Vega 8,AMD,1552
HD 8470D + HD 7500 Dual,AMD,1545
Ryzen 3 PRO 4300U with Radeon,AMD,1543
FirePro W4100,AMD,1541
Ryzen 3 PRO 4450U with Radeon,AMD,1538
RX 640,AMD,1537
FirePro W6150M,AMD,1515
Quadro P500,NVIDIA,1508
Ryzen 3 PRO 4450U,AMD,1505
940MX,NVIDIA,1503
Ryzen 5 2500U with Radeon Vega,AMD,1503
HD 6670 + 7660D Dual,AMD,1492
HD 7660D + HD 6670 Dual,AMD,1485
R9 255,AMD,1485
R9 M365X,AMD,1482
MX110,NVIDIA,1469
Vega 10 Mobile,AMD,1465
Ryzen 3 PRO 4350GE,AMD,1464
Ryzen 5 PRO 4400GE with Radeon,AMD,1442
Vega 8 Mobile,AMD,1438
HD 8470D + HD 6670 Dual,AMD,1436
845M,NVIDIA,1430
550X,AMD,1430
Iris Pro Graphics 6200,Intel,1429
HD 7560D + 7670 Dual,AMD,1426
R7 M370,AMD,1418
Ryzen 5 4600GE,AMD,1412
Pro WX 4170,AMD,1409
Ryzen 3 PRO 5350G,AMD,1408
Ryzen 3 5300G,AMD,1406
540X,AMD,1398
HD 7560D + HD 7670 Dual,AMD,1380
R7 PRO A12 8870,AMD,1376
R9 M370X,AMD,1374
FirePro M40003,AMD,1364
HD 5770,AMD,1351
Quadro K2100M,NVIDIA,1348
Ryzen 3 4300U with Radeon,AMD,1348
HD 7560D + HD 7700 Dual,AMD,1347
Iris 550,Intel,1344
FirePro W5130M,AMD,1341
Iris Plus 640,Intel,1333
HD 8670D + HD 7600 Dual,AMD,1318
R7 PRO A8 8670E,AMD,1310
Ryzen 3 4300U,AMD,1310
Tesla M2070 Q,NVIDIA,1306
930MX,NVIDIA,1302
Ryzen Embedded V2748,AMD,1296
Vega 6,AMD,1296
UHD 630,Intel,1293
R7 A370,AMD,1281
R7 A10 7870K,AMD,1280
540,AMD,1273
FirePro 3D V8750,AMD,1272
HD 8570D + HD 6670 Dual,AMD,1261
HD 7560D + HD 7600 Dual,AMD,1258
Iris 540,Intel,1257
630,AMD,1245
Quadro 2000 D,NVIDIA,1239
HD 8570D + 6570 Dual,AMD,1239
HD 7660D + 6670 Dual,AMD,1238
HD P630,Intel,1237
HD 7560D + HD 6570 Dual,AMD,1237
GPU,NVIDIA,1236
R7 + R5 340 Dual,AMD,1235
FirePro 3D V5800,AMD,1232
R7 + R7 250 Dual,AMD,1232
HD 8670D + HD 6670 Dual,AMD,1222
HD 8790M / R9 M290X,AMD,1211
FirePro 3D V8700,AMD,1206
N16P GX,Unknown,1205
HD 7660D + 7540D Dual,AMD,1204
HD P530,Intel,1202
R7 +8G,AMD,1191
Ryzen 3 5400U,AMD,1183
840A,NVIDIA,1180
R7 Opteron X3421,AMD,1169
Barco MXRT 5400,Unknown,1161
Coffee Lake UHD,Intel,1158
Quadro K620M,NVIDIA,1157
HD 5750,AMD,1156
R7 250,AMD,1151
625,AMD,1150
940A,NVIDIA,1145
GT 745A,NVIDIA,1144
Ryzen 3 PRO 5450U,AMD,1143
NVS 810,Unknown,1141
HD 8850M / R9 M265X,AMD,1140
R7 A10 9700E RADEON,AMD,1138
HD 4850 X2,AMD,1132
HD 7560D + 6670 Dual,AMD,1131
R7 + R7 200 Dual,AMD,1129
R7 FX 9830P RADEON,AMD,1127
HD 8650G + 7700M Dual,AMD,1126
HD 7660D + 7500 Dual,AMD,1121
HD 630,Intel,1118
R7 PRO A12 9800,AMD,1117
R9 M275,AMD,1115
R7 430,AMD,1110
UHD 710,Intel,1107
940M,NVIDIA,1106
Quadro 2100M,NVIDIA,1100
HD 7660D + 6570 Dual,AMD,1100
Quadro M500M,NVIDIA,1098
GT 545,NVIDIA,1096
R5 PRO A6 9500 2C+6G,AMD,1096
GTX 850M MODDED,NVIDIA,1092
920MX,NVIDIA,1088
Firepro W4190M,AMD,1086
930A,NVIDIA,1082
MIRRORV3,Unknown,1081
Barco MXRT 5450,Unknown,1079
HD 8450G + 8600/8700M Dual,AMD,1070
FirePro M4170,AMD,1067
840M,NVIDIA,1067
"R5 PRO A6 8570 R5, 8 COMPUTE CORES 2C+6G",AMD,1064
HD 7520G + 7700M Dual,AMD,1061
GTX 760A,NVIDIA,1060
Firepro M4100,AMD,1059
OPAL XT/GL,Unknown,1053
GTX 850A,NVIDIA,1050
R7 PRO A8 9600,AMD,1049
535,AMD,1048
R7 A12 9730P RADEON,AMD,1047
R7 + R7 240 Dual,AMD,1045
HD 8570D + 6670 Dual,AMD,1040
R7 M460,AMD,1038
UHD Graphics 620,Intel,1037
HD 8570D + HD 8570 Dual,AMD,1033
HD 8600/8700M,AMD,1030
Vega 3 Mobile,AMD,1029
R7 + R5 330 Dual,AMD,1028
R7 M350,AMD,1027
R9 A375,AMD,1024
Iris Pro 5200,Intel,1020
HD 8670D + R7 240 Dual,AMD,1020
HD 6700M,AMD,1017
RadeonT R5 430,AMD,1016
R5 A6 9500E 2C+4G,AMD,1015
930M,NVIDIA,1011
830A,NVIDIA,1005
HD 7660G + HD 7500/7600 7500/7600 Dual,AMD,1002
"R5 PRO A6 9500 R5, 8 COMPUTE CORES 2C+6G",AMD,1000
FirePro M4150,AMD,999
HD 7660G + HD 7500M/7600M Dual,AMD,999
HD 8570D + R7 200 Dual,AMD,999
HD 7640G + HD 8750M Dual,AMD,997
R5 340,AMD,996
HD 8570,AMD,991
R7 A12 9800 RADEON,AMD,989
HD 7560D + 7570 Dual,AMD,985
HD 530,Intel,984
HD 7560D + 7560D Dual,AMD,983
R7 A10 7850K,AMD,982
R5 A10 9630P 4C+6G,AMD,977
830M,NVIDIA,976
R7 A10 9700 RADEON,AMD,975
FirePro V4900,AMD,974
HD 8670D + 8570 Dual,AMD,974
R6 A10 9600P 4C+6G,AMD,970
HD 7660G N HD 7660G + HD 7700M N HD 7700M D,AMD,967
R7 M465,AMD,965
HD 8570D + R7 240 Dual,AMD,964
R7 M270DX,AMD,962
R7 PRO A12 8870E,AMD,962
R7 A10 PRO 7850B,AMD,958
R6 Opteron X3418,AMD,955
R7 A265,AMD,955
Qualcomm Adreno 690 GPU,Qualcomm,952
HD 8670D + R7 200 Dual,AMD,950
HD 8570 + HD 7660D Dual,AMD,949
R7 A8 7500,AMD,948
HD 6670/7670,AMD,946
HD 7640G + 7690M Dual,AMD,946
530,AMD,945
R7 PRO A10 8850B,AMD,945
zxcvIntel HD 620,Intel,944
HD 7660D + R7 240 Dual,AMD,942
R7 A12 9800E RADEON,AMD,941
R7 PRO A12 9800E,AMD,940
R5 430,AMD,939
HD 7560D + HD 8570 Dual,AMD,936
R7 PRO A10 9700E,AMD,933
HD 7660G + 7730M Dual,AMD,931
R7 340,AMD,931
R7 PRO A10 8770,AMD,931
R7 240 + HD 8670D Dual,AMD,930
Radeon. HD 7730M,AMD,928
Iris Pro 6100,Intel,925
HD Graphics 620,Intel,923
R9 M280X,AMD,922
R7 240 + HD 8570D Dual,AMD,918
R7 A8 8650,AMD,913
R7 M445,AMD,913
GRID K220Q,Unknown,912
R7 A10 7860K,AMD,912
6750M,AMD,911
Iris 6100,Intel,907
HD 4770,AMD,906
Barco MXRT 7400,Unknown,901
HD 8550G + 7600M Dual,AMD,901
Barco MXRT 2600,Unknown,900
R7 + R5 Dual,AMD,898
R7 PRO A10 8770E,AMD,897
7900 MOD Radeon HD 6550D,AMD,893
UHD 620,Intel,889
Vega 3,AMD,889
R7 + R5 435 Dual A10 9700 RADEON,AMD,886
R7 A10 8750,AMD,885
