gpu_name,manufacturer,benchmark_score
HD 8650G + 7670M Dual,AMD,884
R7 M365X,AMD,884
R7 PRO A12 8830B,AMD,883
HD 7660G + HD 7730M Dual,AMD,882
"R5 A6 9500 RADEON R5, 8 COMPUTE CORES 2C+6G",AMD,878
E6760,AMD,877
LMIMIRR,Unknown,875
920A,NVIDIA,872
R7 G,AMD,870
HD 8570D + HD 6570 Dual,AMD,868
HD 520,Intel,866
"R5 PRO A6 8570E R5, 6 COMPUTE CORES 2C+4G",AMD,866
R7 A8 7670K,AMD,866
HD 8470D + HD 6450 Dual,AMD,863
R7 240,AMD,863
R7 M440,AMD,862
HD 4830,AMD,860
HD 8550G + HD 7600M Dual,AMD,855
FirePro 3D V4800,AMD,854
HD 8500M/8700M,AMD,853
R5 A6 9500 2C+6G,AMD,853
R7 A8 7500 4C+6G,AMD,853
GT 635,NVIDIA,852
HD 6000,Intel,851
UHD 617,Intel,848
R5 PRO A6 8570 2C+6G,AMD,847
R5 435,AMD,841
620,AMD,840
HD 8470D + 6570 Dual,AMD,838
HD 8670D + R5 235 Dual,AMD,837
HD 6650A,AMD,836
520,AMD,833
HD 7520G + HD 7500/7600 Dual,AMD,832
HD 7660G + 7600M Dual,AMD,832
HD 8650G + 8600/8700M Dual,AMD,832
HD 5200,Intel,830
3DP Edition,Unknown,827
HD 7640G N HD 7640G + HD 7600M N HD 7600M D,AMD,824
HD 7540D + 7500 Dual,AMD,822
R7 M260DX,AMD,822
HD 8650G + HD 7600M Dual,AMD,820
R7 A10 Extreme Edition,AMD,816
535DX,AMD,813
HD 8670D + 7000 Dual,AMD,812
GRID K1,Unknown,811
R5 A6 7480,AMD,811
R8 M445DX,AMD,806
HD 8550G + 8600/8700M Dual,AMD,803
HD 8650G + HD 8790M Dual,AMD,800
R7 A8 9600 RADEON,AMD,798
HD 8550G + 8750M Dual,AMD,796
HD 8650G N HD 8650G + HD 8600/8700M Dual,AMD,796
R5 M435,AMD,796
HD 8650G + 8750M Dual,AMD,787
HD 5670,AMD,784
R7 A8 7600,AMD,782
R7 A10 7890K,AMD,781
R7 A365,AMD,781
R7 PRO A6 9500 2C+6G,AMD,781
HD 8650G + HD 8750M Dual,AMD,779
HD 7660G + HD 7700M Dual,AMD,777
HD 7640G + 7500M/7600M Dual,AMD,776
R7 FX 8800P,AMD,775
RadeonT Vega 3,AMD,775
Mobility Radeon HD 5000,AMD,773
HD 7600M + 7600M Dual,AMD,773
HD 8650G N HD 8650G + HD 8570M Dual,AMD,773
R7 A10 8850,AMD,773
R5 PRO A6 9500E 2C+4G,AMD,771
R7 PRO A10 9700,AMD,771
730A,NVIDIA,769
825M,NVIDIA,769
HD 4810,AMD,769
HD 8650G + HD 8600/8700M Dual,AMD,764
HD 6450 + 8470D Dual,AMD,763
R9 M375,AMD,763
UHD 615,Intel,760
HD 7660G + HD 7500/7600 Dual,AMD,760
R7 A12 9720P RADEON,AMD,759
Iris 5100,Intel,758
HD 7660G + HD 8500M Dual,AMD,758
HD 8650G + HD 8600M N HD 8600M Dual,AMD,758
R7 PRO A10 8750B,AMD,758
R7 PRO A10 9700B,AMD,758
HD 7660G + 7700M Dual,AMD,757
Quadro 1100M,NVIDIA,755
HD 7640G + 7450M Dual,AMD,754
HD 8570D + HD 7000 Dual,AMD,753
R7 A8 7680,AMD,752
IncrediblE HD 4600,Unknown,750
M535DX,AMD,750
R7 A10 7700K,AMD,749
HD 7640G + 7650M Dual,AMD,747
HD 7660G + HD 8600/8700M Dual,AMD,747
HD 7660G + 7610M Dual,AMD,746
HD 8670D + R5 330 Dual,AMD,746
R5 235 + HD 7560D Dual,AMD,744
GT 730A,NVIDIA,743
HD 7660G + 7670M Dual,AMD,743
HD 8650G + 7600M Dual,AMD,742
R7 PRO A8 8650B,AMD,740
Poison Ivy,Intel,739
HD 7670M + 7670M Dual,AMD,738
R5 235 + HD 8570D Dual,AMD,738
R5 A10 9620P 4C+6G,AMD,732
NVS 510,Unknown,730
UHD 610,Intel,729
HD 7550M/7650M,AMD,729
GRID K140Q,Unknown,728
R7 FX 9800P RADEON,AMD,727
HD 6800M,AMD,726
720A,NVIDIA,725
HD 615,Intel,724
920M,NVIDIA,723
HD 7660G N HD 7660G + HD 7600M N HD 7600M D,AMD,723
HD 8650G + R5 M200 Dual,AMD,723
R7 PRO A12 9800B,AMD,722
Asus GTX 650 FML II EC EGPU,NVIDIA,721
HD 7540D + 6570 Dual,AMD,720
HD 8670D + HD 7000 Dual,AMD,719
"R5 PRO A8 9600B R5, 10 COMPUTE CORES 4C+6G",AMD,718
HD 8470D + 6450 Dual,AMD,717
HD 8650G + HD 8570M Dual,AMD,716
"R5 A10 9600P RADEON R5, 10 COMPUTE CORES 4C",AMD,716
HD 5600,Intel,712
HD 7660G + HD 8670M Dual,AMD,711
HD 6550A,AMD,708
HD 7660G + HD 7670M Dual,AMD,707
HD 7640G + 7600M Dual,AMD,706
HD 7660G N HD 7660G + HD 7670M Dual,AMD,705
Tesla K40m,NVIDIA,705
HD 7640G + HD 7600M Dual,AMD,704
R7 A8 7650K,AMD,704
R7 A12 9700P RADEON,AMD,703
GT 740A,NVIDIA,702
HD 7570M/HD 7670M,AMD,699
TRINITY DEVASTATOR MOBILE,Unknown,699
R5 PRO A10 8730B 4C+6G,AMD,695
R5 PRO A6 9500B 2C+4G,AMD,693
HD 7640G + 7700M Dual,AMD,691
R7 A10 7800,AMD,691
R5 PRO A6 8530B 2C+4G,AMD,690
R7E,AMD,690
HD 7640G + 8600/8700M Dual,AMD,689
HD 8650G + R5 M230 Dual,AMD,686
HD 8550D,AMD,685
HD 7640G N HD 7640G + HD 7670M Dual,AMD,680
HD 8650G N HD 8650G + HD 8600M N HD 8600M D,AMD,680
HD 7640G + HD 8670M Dual,AMD,677
Quadro FX 4700 X2,NVIDIA,676
HD 8610G + R5 M200 Dual,AMD,676
R7 A360,AMD,676
HD 610,Intel,673
R8 M535DX,AMD,670
HD 7640G + HD 8500M N HD 8500M Dual,AMD,666
Quadro 500M,NVIDIA,664
HD 8550G + 8690M Dual,AMD,664
HD 5600/5700,AMD,661
HD 2900 XT,AMD,660
R5 PRO A8 9600B 4C+6G,AMD,659
HD 7640G + 8750M Dual,AMD,655
HD 8550G + HD 8600/8700M Dual,AMD,655
Professional HD Driver,Unknown,654
HD 8650G + 8570M Dual,AMD,654
HD 7520G + HD 8750M Dual,AMD,651
SUMO 9640,Unknown,650
R5 M430,AMD,649
HD 6670 + 6670 Dual,AMD,647
HD 8610G + HD 8500M Dual,AMD,646
R7 M340,AMD,646
HD 7640G + 7670M Dual,AMD,645
HD 7540D + HD 6450 Dual,AMD,643
R7 PRO A12 8800B,AMD,642
R5 PRO A6 8570E 2C+4G,AMD,638
HD 7640G + 7400M Dual,AMD,637
HD 8450G + 8750M Dual,AMD,637
9800 S,NVIDIA,636
Matrox C420 LP PCIe x16,Unknown,635
HD 8650G + 8670M Dual,AMD,635
HD 7660D + HD 7000 Dual,AMD,634
HD 8650G + HD 7670M Dual,AMD,634
9800 GTX/9800 GTX+,NVIDIA,632
HD 7640G + HD 7700M N HD 7700M Dual,AMD,631
HD 7660G + 7470M Dual,AMD,631
HD 8510G + HD 8500M Dual,AMD,630
GRID K160Q,Unknown,628
Quadro FX 3800M,NVIDIA,628
HD 2900 PRO,AMD,628
GT 820M,NVIDIA,627
HD 4600,Intel,627
HD 7640G + 7500/7600 Dual,AMD,627
HD 8650G + 8500M Dual,AMD,627
R7 A8 PRO 7600B,AMD,627
"R5 A10 9620P RADEON R5, 10 COMPUTE CORES 4C",AMD,626
HD P4600/P4700,Intel,624
HD 7520G + HD 8600/8700M Dual,AMD,624
R5 A6 8500P,AMD,624
HD 515,Intel,623
810A,NVIDIA,622
HD 7640G + HD 7400M Dual,AMD,621
HD 8570 + 8670D Dual,AMD,620
HD 510,Intel,619
HD 8550G + R5 M200 Dual,AMD,619
R5 A10 9600P 4C+6G,AMD,619
HD 8550G + 8600M Dual,AMD,618
HD 7500G + 7500M/7600M Dual,AMD,617
HD 7660G + HD 7600M Dual,AMD,616
HD 8650G + 8600M Dual,AMD,613
HD 8550G N HD 8550G + HD 8600M N HD 8600M D,AMD,612
7900 MOD Radeon HD 6520G,AMD,610
Quadro K510M,NVIDIA,610
HD 8610G + 8500M Dual,AMD,610
HD 7640G + HD 8500M Dual,AMD,607
HD 8650G + HD 8600M Dual,AMD,606
HD P4600,Intel,605
"R5 A6 9400 RADEON R5, 6 COMPUTE CORES 2C+4G",AMD,605
HD 8550G + 8500M Dual,AMD,603
GT 720A,NVIDIA,601
HD 8610G + 8670M Dual,AMD,600
"R5 PRO A10 8730B R5, 10 COMPUTE CORES 4C+6G",AMD,598
8800 GTX,NVIDIA,597
HD 8510G + 8500M Dual,AMD,596
R5 M330,AMD,596
HD 7640G + 7470M Dual,AMD,595
HD 8550G + HD 8600M Dual,AMD,594
8800 GTS 512,NVIDIA,591
HD 7520G + 7600M Dual,AMD,591
HD 7640G + HD 7700M Dual,AMD,589
HD 8610G + 8600M Dual,AMD,589
HD 7520G + 7610M Dual,AMD,588
HD 7660G + 7400M Dual,AMD,588
HD 7660G + 8670M Dual,AMD,588
HD 7640G + HD 8600/8700M Dual,AMD,587
HD 7640G + 8500M Dual,AMD,586
HD 8650G + HD 8670M Dual,AMD,585
HD 5500,Intel,582
HD 7520G + 7500/7600 Dual,AMD,582
"R5 A10 9630P RADEON R5, 10 COMPUTE CORES 4C",AMD,580
HD 8550G + 8670M Dual,AMD,579
910M,NVIDIA,578
HD 8450G + R5 M230 Dual,AMD,578
Skylake HD DT GT2,Intel,577
HD 7620G + 8670M Dual,AMD,577
R5 A240,AMD,576
HD 7520G + HD 7700M Dual,AMD,575
HD 7520G N HD 7520G + HD 7500/7600 7500/760,AMD,575
HD 8450G + HD 8670M Dual,AMD,575
R5 420,AMD,575
i gfx driver ci master 9938 DCH I,Intel,573
R6 M255DX,AMD,572
"R6 PRO A8 8600B R6, 10 Compute Cores 4C+6G",AMD,572
R6 + R7 M265DX Dual,AMD,571
HD 7560D + 6450 Dual,AMD,569
820A,NVIDIA,568
HD 6610M,AMD,565
HD 5000,Intel,563
HD 7560D + R5 235 Dual,AMD,563
R7 A10 PRO 7800B,AMD,562
HD 7640G + R5 M200 Dual,AMD,559
HD 8550G + HD 8500M Dual,AMD,559
HD 7640G + 8570M Dual,AMD,558
HD 7640G + 8670M Dual,AMD,558
HD 7600G + HD 7500M/7600M Dual,AMD,555
GF117,Unknown,554
615,NVIDIA,552
R7 M360,AMD,552
R7 7850A10 7850K,AMD,551
FireGL V8650,Unknown,550
R5 M335,AMD,549
HD 8670D,AMD,548
FirePro 3D V5700,AMD,547
HD 8550G + HD 8670M Dual,AMD,546
FirePro 3D V7750,AMD,545
HD 7520G + HD 7400M Dual,AMD,545
HD 8450G + 8600M Dual,AMD,545
Mobility Radeon HD 5570,AMD,544
HD 7600G + HD 8670M Dual,AMD,544
Quadro FX 2700,NVIDIA,543
HD 7520G + 7470M Dual,AMD,543
R6 A10 8700P,AMD,541
KV SPECTRE LITE MOBILE 25W,Unknown,538
R6 PRO A10 8700B 4C+6G,AMD,538
GRID K180Q,Unknown,534
HD 7560D + HD 7000 Dual,AMD,534
HD 8550G + 8570M Dual,AMD,533
HD6530D,AMD,532
R6 PRO A8 8600B 4C+6G,AMD,532
HD 8550G + HD 8570M Dual,AMD,529
HD 7640G + 6400M Dual,AMD,527
HD 7600G N HD 7600G + HD ON HD Dual,AMD,526
HD 8650D,AMD,526
"R6 PRO A10 8700B R6, 10 Compute Cores 4C+6G",AMD,526
HD 7660D + R5 235 Dual,AMD,524
HD 7520G + 7670M Dual,AMD,523
HD 4400,Intel,521
MCT USB3.0 External Device,Unknown,520
R5 240,AMD,520
HD 7640G + HD 7670M Dual,AMD,519
IncrediblE HD 4000,Unknown,517
HD P4000,Intel,516
A10 8700P,Unknown,514
6600M,AMD,513
R5 330,AMD,513
Mobility Radeon HD 4830,AMD,512
820M,NVIDIA,511
HD 7640G + 7610M Dual,AMD,510
HD 7600G + HD 7550M Dual,AMD,509
HD 7620G + 8600M Dual,AMD,509
R5 PRO A6 8500B 2C+4G,AMD,508
HD 7620G + HD 8670M Dual,AMD,507
9600 GT,NVIDIA,505
HD 7660D,AMD,504
HD 8450G + HD 8750M Dual,AMD,504
R7 M265DX,AMD,499
SUMO 964A,Unknown,498
TRINITY SCRAPPER MOBILE,Unknown,498
HD 7500G + 7550M Dual,AMD,497
ASUS EAH4870x2,Unknown,496
HD 7520G + HD 7670M Dual,AMD,495
GT625M,NVIDIA,493
Vega 2,AMD,491
HD8530M,AMD,490
HD 8670D N HD 8670D + HD 8670D Dual,AMD,489
HD 8550G + R5 M230 Dual,AMD,488
HD 7520G + 7400M Dual,AMD,487
R4E,AMD,487
HD 8610G + HD 8600M Dual,AMD,481
Mobility Radeon HD 5000 Serisi,AMD,479
HD 8650G,AMD,479
Mobility Radeon HD 3870 X2,AMD,478
HD 7660G,AMD,476
R5 M315,AMD,476
HD 7640G + HD 8570M Dual,AMD,475
HD 8450G + 8670M Dual,AMD,475
R6 A8 8600P,AMD,475
HD 5570,AMD,473
"R5 PRO A6 9500B R5, 6 COMPUTE CORES 2C+4G",AMD,473
FirePro 3D V3800,AMD,472
HD 7560D,AMD,472
HD 8570D + R5 235 Dual,AMD,471
HD 7600G + 8500M/8700M Dual,AMD,470
R5 M420,AMD,470
800M,NVIDIA,468
HD 7660D + 7470 Dual,AMD,466
HD 8690A,AMD,466
SUMO 9644,Unknown,466
Mobility Radeon HD 4670,AMD,463
HD 7660G + HD 7600M N HD 7600M Dual,AMD,460
705M,NVIDIA,456
HD 7520G + 7650M Dual,AMD,453
HIS DIGITAL HD 4650 AGP,Unknown,452
HD 7620G N HD 7620G + HD 8600M N HD 8600M D,AMD,452
HD 8450G + HD 8600M Dual,AMD,452
710A,NVIDIA,451
HD Family,Intel,451
Qualcomm Adreno 680 GPU,Qualcomm,449
HD 7640G,AMD,448
HD 7520G + HD 7600M Dual,AMD,447
HD 7660G + 8600M Dual,AMD,446
PHDGD Ivy 5,Unknown,445
GT 710M,NVIDIA,444
HD 7620G + HD 8600M Dual,AMD,443
HD 8350G,AMD,443
HD 7600G + HD Dual,AMD,435
HD 8410G,AMD,435
HD 8570D,AMD,434
800A,NVIDIA,428
HD 7640G + HD 7500/7600 Dual,AMD,424
HD 7600G + 7550M Dual,AMD,423
HD 7640G N HD 7640G + HD 8570M Dual,AMD,423
HD6410D,AMD,423
4th Generation Haswell HD,Intel,420
R5 M320,AMD,418
HD 6550D,AMD,417
HD 8610G,AMD,414
HD 7640G + HD 7600M N HD 7600M Dual,AMD,407
FirePro M2000,AMD,406
HD 7600G + 7500M/7600M Dual,AMD,406
E4690,AMD,405
HD 8550G,AMD,403
810M,NVIDIA,402
HD 8500M,AMD,397
R5 Opteron X3216,AMD,394
HD 7600G + 7450M Dual,AMD,390
IncrediblE HD,Unknown,389
HD 5300,Intel,389
HD 4670,AMD,384
HD 5550,AMD,383
HD 7520G + 8750M Dual,AMD,377
HD 7600G + 6400M Dual,AMD,377
PHDGD Ivy 4,Unknown,374
HD 8570D + HD8490 Dual,AMD,374
UHD 605,Intel,370
GT 610M / GT 620M / GT 710M / GT 720M / GT,NVIDIA,369
Matrox Millennium P690 PCIe x16,Unknown,367
HD 7620G,AMD,366
HD4670,AMD,366
HD 7520G N HD 7520G + HD 7600M N HD 7600M D,AMD,365
HD 7660G + HD 8600M Dual,AMD,364
HD 8470D,AMD,362
HD 8450G,AMD,361
HD 8510G,AMD,361
HD 7500G + HD 7500M/7600M Dual,AMD,356
HD 6620G,AMD,355
HD 6480M,AMD,353
HD 7580D,AMD,351
9600 GSO 512,NVIDIA,345
FirePro 3D V3750,AMD,341
HD 8310E,AMD,341
HD 7660D + HD 7400 Dual,AMD,340
HD 505,Intel,339
HD 8570D + HD 8470 Dual,AMD,338
HD 7540D,AMD,336
FirePro RG220,AMD,335
HD 4000,Intel,333
FirePro V3800,AMD,332
R5 310,AMD,332
HD 7500G,AMD,330
GT 625,NVIDIA,329
HD 7600G + HD 7400M Dual,AMD,329
UHD 600,Intel,328
GT 120 / 9500 GT,NVIDIA,325
HD 6530D,AMD,325
E6460,AMD,324
240M GT,NVIDIA,320
HD 7600G,AMD,320
HD6370D,AMD,320
HD 8280,AMD,319
HD 7520G,AMD,312
HD 7420G,AMD,311
HD 7520G + 8600/8700M Dual,AMD,311
HD 8370D,AMD,311
605,NVIDIA,305
R1E,AMD,301
Q965/Q963 Express,Intel,300
HD 6520G,AMD,300
R5E,AMD,300
HD P3000,Intel,297
HD 500,Intel,294
9600M GT / GeForce GT 220M,NVIDIA,293
GRID K120Q,Unknown,293
IncrediblE HD 3000,Unknown,291
7950 Xtreme,NVIDIA,288
HD 7450A,AMD,288
NVS 315,Unknown,286
Mobile Intel HD,Intel,285
HD 7480D,AMD,285
HD 8400E,AMD,273
HD 8280G,AMD,270
Qualcomm Adreno 630 GPU,Qualcomm,268
HD 5470,AMD,268
HD 7400G,AMD,267
HD 8490,AMD,265
HD 6480G,AMD,259
HD 8400,AMD,258
HD 3000,Intel,257
HD 8470,AMD,257
HD 6370D,AMD,254
HD 8330,AMD,252
HD 7640G + 8600M Dual,AMD,250
GT 415,NVIDIA,248
CARRIZO 9874,Unknown,247
7900 GT/GTO,NVIDIA,247
HD 6410D,AMD,243
NVS 310,Unknown,242
HD 8330E,AMD,242
HD 8240,AMD,241
HD 8280E,AMD,241
HD4650,AMD,240
HD 7640G + R5 M230 Dual,AMD,239
Quadro FX 4500 X2,NVIDIA,236
E6465,AMD,231
R2E,AMD,229
HD6450,Unknown,221
HD 7340M,AMD,221
A6 Micro 6500T Quad Core APU with RadeonR4,AMD,220
320M,NVIDIA,219
Mobility FireGL V5725,Unknown,219
HD 6320 Graphic,AMD,216
Mobility Radeon. HD 5470,AMD,215
HD 2000,Intel,213
2nd Generation SandyBridge HD,Intel,212
WinFast GT 610,Unknown,212
HD 2600 PRO,AMD,211
HD 4650 AGP,AMD,208
HD 8250,AMD,208
Barco MXRT 1450,Unknown,206
i gfx driver ci master 9938,Intel,206
R3E,AMD,206
2nd Generation SandyBridge HD 3000,Intel,205
7600 GT,NVIDIA,204
HD 6380G,AMD,204
G200,NVIDIA,200
HD7450,AMD,199
HD 6320M,AMD,198
HD 7340G,AMD,196
Infoshock HD,Intel,194
HD 8210E,AMD,194
HD 8210,AMD,191
505,NVIDIA,187
Quadro FX 3450/4000 SDI,NVIDIA,186
HD 7310G,AMD,181
Barco MXRT 7100,Unknown,180
FirePro 3D V3700,AMD,179
HD 6230,AMD,179
HD 7310 Carte graphique,AMD,174
9200,NVIDIA,171
FirePro 2460,AMD,170
HDG 4670,AMD,170
HD 7310M,AMD,166
HD manual gen9 2015 133271,Intel,165
HD 8350,AMD,165
VIA/S3G C 645/640 GPU,Unknown,163
8600 GTS,NVIDIA,161
315,NVIDIA,159
HD 7340,AMD,157
HD 4300/4500 Serisi,AMD,156
8200,NVIDIA,153
HD 8180,AMD,152
HD 3670,AMD,151
X1950 CrossFire Edition,AMD,151
HD 3650 AGP,AMD,150
HD 6320,AMD,148
FirePro 2270,AMD,147
G100,NVIDIA,147
ZX Chrome 645/640 GPU,Unknown,147
S3 5400EW,Unknown,145
Q35 Express,Intel,143
Q45/Q43 Express Chipset,Intel,142
HD 6300M,AMD,142
EG PARK,Unknown,141
HD 4290,AMD,141
nForce 760i SLI,Unknown,140
HD 6290M,AMD,140
Haswell HD GT2,Intel,139
Go 6800 Ultra,NVIDIA,138
HD 5450,AMD,138
X1900 CrossFire Edition,AMD,137
EAH5450,Unknown,134
9800 GT 1024MB,NVIDIA,134
G102M,NVIDIA,134
RadeonT,AMD,132
MOBILITY RADEON X1800,AMD,130
HD 7310,AMD,130
9300 / nForce 730i,NVIDIA,129
FireGL V7300,Unknown,128
All in Wonder X1900,Unknown,127
9300,NVIDIA,127
HD 3300,AMD,127
Seria Mobility Radeon HD 3400,AMD,125
8700M GT,NVIDIA,124
M76M,Unknown,124
Haswell HD GT1,Intel,123
Matrox G200e WDDM 2.0,Unknown,123
HD 4250,AMD,123
HD 6310,AMD,123
HD 7290M,AMD,123
310,NVIDIA,122
G210M,NVIDIA,122
HD 2400,AMD,121
Extreme AX850 PRO,Unknown,120
Qualcomm Adreno 540 GPU,Qualcomm,120
Qualcomm Adreno 618 GPU,Qualcomm,120
RV530 PRO,Unknown,119
FireMV 2260,Unknown,117
Mobile Intel 45 Express Chipsatzfamilie,Intel,117
PHDGD Quantic C3,Unknown,117
X1700 Targa Edition,AMD,117
FireGL V5200,Unknown,115
HD 7290,AMD,115
NVS 300,Unknown,114
FirePro 2260,AMD,113
6800,NVIDIA,113
Sapphire RADEON X800 GT,AMD,113
9400,NVIDIA,112
HD Modded,Intel,112
HD 4200,AMD,112
Mobility Radeon HD 3400 Serisi,AMD,111
6800 LE,NVIDIA,110
HD 2600 Pro AGP,AMD,110
HD 4270,AMD,110
VIA/S3G Chrome 645/640 GPU,Unknown,110
XFX Radeon HD 4650 AGP,AMD,110
HD 4330,AMD,109
HD 6290,AMD,109
G105M,NVIDIA,108
Quadro FX 370 LP,NVIDIA,108
Infoshock 3000,AMD,107
GeForce9400M,NVIDIA,106
9450,NVIDIA,105
9500M,NVIDIA,104
M880G with Mobility Radeon HD 4250,AMD,104
Quadro FX 3400/4400,NVIDIA,104
6800 GS/XT,NVIDIA,103
G210,NVIDIA,103
Quadro FX 370 Low Profile,NVIDIA,103
8300,NVIDIA,102
Quadro FX Go1400,NVIDIA,102
Quadro FX 4000,NVIDIA,101
Media Accelerator HD,Intel,99
X1600 Pro,AMD,99
9300GE,NVIDIA,98
ION LE,Unknown,98
3000,AMD,98
Mobility Radeon HD serie 4200,AMD,97
6700 XL,NVIDIA,95
MEDION RADEON X740XL,AMD,95
Matrox G200eW3 WDDM 2.0,Unknown,94
Mobility Radeon HD 3470 Hybrid X2,AMD,94
HD 6250,AMD,94
M880G with Mobility Radeon HD 4200,AMD,93
Mobility Radeon HD 4270,AMD,93
Quadro FX 370M,NVIDIA,93
G205M,NVIDIA,92
nForce 780a SLI,Unknown,92
X600XT,AMD,92
6610 XL,NVIDIA,89
G33/G31 Express,Intel,86
ION,Unknown,86
Quadro FX 350,NVIDIA,86
FireGL V3200,Unknown,85
X1650 Pro,AMD,85
ALL IN WONDER X800 GT,Unknown,84
999 GTX,NVIDIA,84
Quadro FX 370,NVIDIA,84
G41 Express Chipset,Intel,83
nForce 750a SLI,Unknown,83
7300 GS,NVIDIA,82
9300 SE,NVIDIA,82
MOBILITY FireGL V5000,Unknown,82
nForce 980a/780a SLI,Unknown,82
HD 3200,AMD,82
X850 XT Platinum Edition,AMD,82
8400,NVIDIA,81
Mobility Radeon 4100,AMD,81
Quadro FX 540,NVIDIA,81
X800 XT Platinum Edition,AMD,81
X800GT,AMD,80
8100 / nForce 720a,NVIDIA,79
HD 2350,AMD,77
M860G with Mobility Radeon 4100,AMD,76
X700 PRO,AMD,76
G45/G43 Express Chipset,Intel,75
X1650 GTO,AMD,75
FireMV 2450,Unknown,74
7350 LE,NVIDIA,74
3100,AMD,74
Mobility Radeon HD 4300 Serisi,AMD,73
X700,AMD,73
X800 PRO/GTO,AMD,73
X850 PRO,AMD,73
8200M G,NVIDIA,72
M880G with Mobility Radeon HD 4225,AMD,72
MEDION RADEON 9800 XXL,AMD,72
X550XTX,AMD,71
X700 SE,AMD,71
BASICDISPLAY,Unknown,70
Diamond X1300 PCIE 256MB,Unknown,70
9100M G,NVIDIA,70
X1600 Pro / X1300XT,AMD,69
8400 SE,NVIDIA,68
9400M G,NVIDIA,68
B43 Express Chipset,Intel,68
G45/G43/G41 Express Chipset,Intel,68
Matrox G200eR WDDM 2.0,Unknown,68
256MB RADEON X600,AMD,67
MOBILITY RADEON X700,AMD,67
128MB DDR Radeon 9800 Pro,AMD,66
Mobility Radeon HD 4225,AMD,66
X800 PRO,AMD,65
M71 M,Unknown,64
Quadro FX 550,NVIDIA,64
HD manual 15.28 1861,Intel,63
128 DDR Radeon 9800 Pro,AMD,62
MOBILITY FireGL V3200,Unknown,62
SAPPHIRE Radeon X1550,AMD,61
MOBILITY RADEON X700 XL,AMD,60
2100,AMD,60
FireGL X1,Unknown,59
6800 XE,NVIDIA,59
Matrox G200e WDDM 1.2,Unknown,59
9800 PRO,AMD,59
Express Chipset Q45/Q43,Intel,58
Mobile Intel 965 Express,Intel,58
9800,AMD,58
X1300,AMD,58
Express Chipset G41,Intel,57
G41 Express Chipsatz,Intel,57
Q45/Q43 Express Chipsatz,Intel,57
X600 256MB HyperMemory,AMD,57
X550XT,AMD,56
9700 PRO,AMD,54
7100 GS,NVIDIA,52
Matrox G200eh WDDM 1.2,Unknown,52
E2400,AMD,52
Xpress 1300,AMD,52
FirePro 2450,AMD,51
FX Go5700,NVIDIA,51
X550,AMD,51
Matrox G200eW WDDM 1.2,Unknown,50
MOBILITY RADEON X600,AMD,50
128MB RADEON X600 SE,AMD,49
7300 SE/7200 GS,NVIDIA,49
Mobility Radeon X2300 HD,AMD,49
MOBILITY RADEON X600 SE,AMD,49
Quadro NVS 140M,NVIDIA,49
Mobility Radeon X2300,AMD,48
X1550 64 bit,AMD,48
SAPPHIRE RADEON 9600 ATLANTIS,AMD,47
FireMV 2250,Unknown,46
MOBILITY RADEON 9800,AMD,46
Go 6600 TE/6200 TE,NVIDIA,45
Matrox G200eh WDDM 2.0,Unknown,45
Matrox G200eR WDDM 1.2,Unknown,45
Mobile Intel 4 Express Chipsatzfamilie,Intel,45
Mobile Intel serie 4 Express,Intel,45
MOBILITY FireGL V5200,Unknown,45
128 DDR Radeon 9700 TX w/TV Out,AMD,44
Xpress 1250,AMD,43
Matrox M9138 LP PCIe x16,Unknown,42
Mobile Intel 45 Express,Intel,42
9500 PRO / 9700,AMD,42
Gigabyte RADEON X300,AMD,41
Matrox G200eh,Unknown,41
MOBILITY FIREGL T2,Unknown,41
Matrox G200eW,Unknown,40
Xpress 1300M,AMD,40
S3 Chrome 430 ULP,Unknown,40
7050 / nForce 620i,NVIDIA,39
7300 SE,NVIDIA,39
GIGABYTE RADEON 9600 PRO,AMD,39
Mobile Intel famiglia Express Chipset 45,Intel,39
MOBILITY RADEON 9600/9700,AMD,39
256MB DDR Radeon 9800 XT,AMD,38
7050 / nForce 630i,NVIDIA,38
Quadro NVS 285 128MB,NVIDIA,38
Quadro NVS 440,NVIDIA,38
X300SE,AMD,38
6200SE TurboCache,NVIDIA,37
Matrox G200eR,Unknown,37
X1250,AMD,37
CONNECT 3D RADEON X300,AMD,36
FireMV 2200 PCIe,Unknown,36
MOBILITY RADEON 9600,AMD,36
Xpress 1200,AMD,36
7100 / nForce 630i,NVIDIA,35
FX 5900,NVIDIA,35
PCX 5750,NVIDIA,35
9600 XT,AMD,35
7025 / nForce 630a,NVIDIA,34
PCX 5900,NVIDIA,34
MOBILITY FIREGL T2/T2e,Unknown,34
MOBILITY RADEON X300,AMD,34
Xpress 1100,AMD,34
6150 LE,NVIDIA,33
7150 / nForce 630i,NVIDIA,33
FX 5700VE,NVIDIA,33
FX 5900ZT,NVIDIA,33
Media Accelerator,Intel,33
Mobility Radeon X1450,AMD,33
X1200,AMD,33
S3 Chrome S27 DDR3,Unknown,33
6200 A LE,NVIDIA,32
Matrox M9148 LP PCIe x16,Unknown,32
Red Hat QXL controller,Unknown,32
FireGL T2 128,Unknown,31
7050 PV / nForce 630a,NVIDIA,31
OpenXT Display Driver,Unknown,31
X1270,AMD,31
All in Wonder X1800XL,Unknown,30
6150SE nForce 430,NVIDIA,30
MOBILITY RADEON 9550,AMD,30
Xpress 1150,AMD,30
