gpu_name,benchmark_score,tier
Quadro P4000 with Max Q Design,9083,S
RTX 3050 Laptop GPU,9037,S
RX 6800M,9012,S
R9 390,9008,S
RX 580,8907,S
RX 5500,8817,S
R9 290X,8794,S
Quadro RTX 3000 with Max Q Design,8754,A
GTX 1060 5GB,8704,A
Arc A380,8700,A
RX 480,8674,A
Quadro P3200,8663,A
GTX 1660 Ti with Max Q Design,8646,A
RX590 GME,8628,A
R9 295X2,8619,A
GTX Titan,8556,A
R9 290,8409,A
R9 290X / 390X,8389,A
Pro Duo,8324,A
Pro 5500 XT,8298,A
15FF,8229,A
Arc A370M,8200,A
GTX 1060 (Mobile),8161,A
R9 290 / 390,8150,A
Quadro K6000,8108,A
RX 470/570,8070,A
GTX 780,8022,A
RTX 2050,8007,A
Quadro M5500,7915,A
GTX 1060 with Max Q Design,7907,A
T1200 Laptop GPU,7884,A
T1000,7829,A
Pro WX 7100,7822,A
GTX 1650,7807,A
RX 580X,7798,A
Tesla M60,7771,A
RX 580 2048SP,7768,A
T1000 8GB,7760,A
Pro 580,7753,A
FirePro W9100,7719,A
RX 5300,7611,A
Pro 580X,7540,A
Pro 5300,7522,A
Tesla M6,7509,A
GTX 1650 Ti,7490,A
FirePro W8100,7327,A
RadeonT RX 5300,7321,A
GTX 980M,7317,A
Tesla P100 PCIE 16GB,7225,A
Quadro T2000,7169,A
RX 5600M,7157,A
Quadro P2000,7096,A
GTX 1650 (Mobile),6969,A
RX 6400,6958,A
Quadro T2000 with Max Q Design,6871,A
Quadro M5000M,6807,A
Pro 5500M,6763,A
RX Vega M GH,6734,A
T600 Laptop GPU,6725,A
GTX 970XM FORCE,6707,A
R9 285,6680,A
Quadro M4000,6644,A
Quadro T1000 with Max Q Design,6589,A
Quadro P3000,6572,A
Quadro M4000M,6530,A
Quadro T1000,6513,A
T600,6509,A
Arc A350M,6500,A
GTX 1650 Ti with Max Q Design,6342,A
Pro 570,6337,A
GTX 1050 Ti,6314,A
R9 280X,6284,A
FirePro S7150,6276,A
R9 380,6275,A
R9 380X,6189,A
FirePro W9000,6138,A
Pro WX Vega M GL,6049,A
GTX 960,6042,A
P106 100,5967,A
GTX 1050 Ti (Mobile),5919,A
PRO W6400,5916,A
GTX 770,5892,A
GTX 1650 with Max Q Design,5884,A
Pro 5300M,5840,A
A16,5797,A
Quadro K5200,5780,A
GTX 970M,5761,A
Pro WX 7130,5722,A
Quadro M3000M,5678,A
Tesla K20m,5675,A
R9 280,5668,A
GTX 690,5654,A
A40 12Q,5573,A
HD 7990,5566,A
R9 285 / 380,5550,A
GTX 680,5535,A
Pro WX 5100,5511,A
Tesla K20Xm,5428,A
GTX 760 Ti OEM,5427,A
GTX 950,5392,A
GTX 1050 Ti with Max Q Design,5372,A
FirePro S10000,5315,A
GTX 670,5304,A
HD 7970 / R9 280X,5248,A
HD 8990,5214,A
GTX 760 Ti,5206,A
FirePro W7100,5175,A
Q12U 1,5164,A
R9 M295X,5150,A
Pro Vega 20,5117,A
MX550,5090,A
GTX 1050,5090,A
FirePro S9000,5059,A
T550 Laptop GPU,5000,A
R9 M395,4991,A
EIZO Quadro MED XN51LP,4955,A
Barco MXRT 7600,4944,A
R9 270X,4923,A
FirePro S9050,4901,A
GRID RTX6000P 6Q,4777,A
GTX 760,4775,A
R9 M395X,4775,A
HD 7950 / R9 280,4765,A
Sky 500,4736,A
R9 370,4722,A
Pro Vega 16,4683,A
HD 7870,4661,A
Quadro P2000 with Max Q Design,4597,A
B8DKMDAP,4557,A
Pro 465,4538,A
GTX 580,4538,A
R7 370,4479,A
HD 7870 XT,4470,A
Quadro P1000,4466,A
GTX 1050 (Mobile),4462,A
P104 100,4450,A
Citrix Indirect Display Adapter,4447,A
