gpu_name,benchmark_score,tier
HD 7660G + HD 8670M Dual,711,B
HD 3870 X2,709,B
Quadro K610M,708,B
HD 6550A,708,B
HD 7660G + HD 7670M Dual,707,B
HD 7640G + 7600M Dual,706,B
HD 7660G N HD 7660G + HD 7670M Dual,705,B
Tesla K40m,705,B
HD 7640G + HD 7600M Dual,704,B
R7 A12 9700P RADEON,703,B
GT 740A,702,B
HD 7570M/HD 7670M,699,B
TRINITY DEVASTATOR MOBILE,699,B
HD 7640G + 7700M Dual,691,B
R7E,690,B
HD 7640G + 8600/8700M Dual,689,B
GT 555M,688,B
HD 8650G + R5 M230 Dual,686,B
HD 6630M,685,B
HD 8550D,685,B
GT 630,683,B
HD 7640G N HD 7640G + HD 7670M Dual,680,B
HD 8650G N HD 8650G + HD 8600M N HD 8600M D,680,B
GTS 160M,679,B
HD 7640G + HD 8670M Dual,677,B
GT 530,676,B
GTX 285M,676,B
Quadro FX 4700 X2,676,B
HD 8610G + R5 M200 Dual,676,B
R7 A360,676,B
GT 640M LE,673,B
HD 610,673,B
R8 M535DX,670,B
HD 7640G + HD 8500M N HD 8500M Dual,666,B
FirePro M7740,665,B
HD 8550G + 8690M Dual,664,B
Quadro 500M,664,B
FirePro V3900,662,B
HD 5600/5700,661,B
FireGL V7700,660,B
HD 2900 XT,660,B
HD 8730M,659,B
GT 140,658,B
HD 8550G + HD 8600/8700M Dual,655,B
GTS 360M,655,B
HD 7640G + 8750M Dual,655,B
HD 8650G + 8570M Dual,654,B
Professional HD Driver,654,B
HD 7520G + HD 8750M Dual,651,B
SUMO 9640,650,B
R5 M430,649,B
FireStream 9170,647,B
HD 6670 + 6670 Dual,647,B
HD 8610G + HD 8500M Dual,646,B
R7 M340,646,B
HD 7640G + 7670M Dual,645,B
HD 7540D + HD 6450 Dual,643,B
R7 PRO A12 8800B,642,B
8800 Ultra,639,B
GT 710,637,B
HD 7640G + 7400M Dual,637,B
HD 8450G + 8750M Dual,637,B
9800 S,636,B
Matrox C420 LP PCIe x16,635,B
NVS 5400M,635,B
HD 8650G + 8670M Dual,635,B
HD 8650G + HD 7670M Dual,634,B
HD 7660D + HD 7000 Dual,634,B
HD 7730M,634,B
HD 7610M,632,B
9800 GTX/9800 GTX+,632,B
HD 7640G + HD 7700M N HD 7700M Dual,631,B
HD 7660G + 7470M Dual,631,B
HD 8510G + HD 8500M Dual,630,B
GRID K160Q,628,B
Quadro FX 3800M,628,B
HD 2900 PRO,628,B
GT 820M,627,B
HD 4600,627,B
HD 7640G + 7500/7600 Dual,627,B
HD 8650G + 8500M Dual,627,B
R7 A8 PRO 7600B,627,B
HD 7520G + HD 8600/8700M Dual,624,B
HD P4600/P4700,624,B
HD 515,623,B
810A,622,B
GTS 240,622,B
GTX 280M,621,B
HD 7640G + HD 7400M Dual,621,B
HD 8570 + 8670D Dual,620,B
HD 510,619,B
HD 8550G + R5 M200 Dual,619,B
HD 8550G + 8600M Dual,618,B
GTS 250,618,B
HD 7500G + 7500M/7600M Dual,617,B
FireGL V7600,616,B
HD 7660G + HD 7600M Dual,616,B
HD 7570,613,B
HD 8650G + 8600M Dual,613,B
HD 8550G N HD 8550G + HD 8600M N HD 8600M D,612,B
7900 MOD Radeon HD 6520G,610,B
Quadro K510M,610,B
HD 8610G + 8500M Dual,610,B
HD 7640G + HD 8500M Dual,607,B
GT 720,606,B
HD 8650G + HD 8600M Dual,606,B
HD P4600,605,B
HD 8550G + 8500M Dual,603,B
GT 430,603,B
GT 720A,601,B
HD 8610G + 8670M Dual,600,B
Quadro 1000M,599,B
8800 GTX,597,B
R5 M330,596,B
HD 8510G + 8500M Dual,596,B
HD 7640G + 7470M Dual,595,B
GT 735M,594,B
HD 8550G + HD 8600M Dual,594,B
HD 7520G + 7600M Dual,591,B
8800 GTS 512,591,B
HD 8610G + 8600M Dual,589,B
HD 7640G + HD 7700M Dual,589,B
HD 7660G + 8670M Dual,588,B
HD 7660G + 7400M Dual,588,B
HD 7520G + 7610M Dual,588,B
HD 7640G + HD 8600/8700M Dual,587,B
HD 7640G + 8500M Dual,586,B
HD 8650G + HD 8670M Dual,585,B
HD 7520G + 7500/7600 Dual,582,B
HD 5500,582,B
GT 550M,580,B
HD 8550G + 8670M Dual,579,B
910M,578,B
HD 8450G + R5 M230 Dual,578,B
HD 8610G + HD 8670M Dual,578,B
HD 7620G + 8670M Dual,577,B
Skylake HD DT GT2,577,B
R7 M265,576,B
HD 3870,576,B
R5 A240,576,B
HD 8450G + HD 8670M Dual,575,B
R5 420,575,B
HD 7520G + HD 7700M Dual,575,B
HD 7520G N HD 7520G + HD 7500/7600 7500/760,575,B
i gfx driver ci master 9938 DCH I,573,B
R6 M255DX,572,B
R6 + R7 M265DX Dual,571,B
HD 7560D + 6450 Dual,569,B
GTS 250M,569,B
820A,568,B
HD 6610M,565,B
HD 7650A,564,B
HD 7560D + R5 235 Dual,563,B
HD 5000,563,B
GT 635M,563,B
R7 A10 PRO 7800B,562,B
Quadro FX 5600,562,B
HD 7640G + R5 M200 Dual,559,B
HD 8550G + HD 8500M Dual,559,B
HD 7640G + 8570M Dual,558,B
HD 7640G + 8670M Dual,558,B
HD 7600G + HD 7500M/7600M Dual,555,B
GF117,554,B
615,552,B
R7 M360,552,B
R7 7850A10 7850K,551,B
FireGL V8650,550,B
GT 630M,549,B
R5 M335,549,B
Mobility Radeon HD 3870,548,B
HD 8670D,548,B
FirePro 3D V5700,547,B
Quadro 600,546,B
HD 8550G + HD 8670M Dual,546,B
FirePro 3D V7750,545,B
HD 7520G + HD 7400M Dual,545,B
HD 8450G + 8600M Dual,545,B
Mobility Radeon HD 5570,544,B
HD 7600G + HD 8670M Dual,544,B
GT 240,543,B
Quadro FX 2700,543,B
HD 7520G + 7470M Dual,543,B
KV SPECTRE LITE MOBILE 25W,538,B
9800 GTX+,538,B
GRID K180Q,534,B
NVS 5200M,534,B
HD 7560D + HD 7000 Dual,534,B
HD 8550G + 8570M Dual,533,B
HD6530D,532,B
HD 8550G + HD 8570M Dual,529,B
HD 7640G + 6400M Dual,527,B
HD 7600G N HD 7600G + HD ON HD Dual,526,B
HD 8650D,526,B
HD 7660D + R5 235 Dual,524,B
HD 7520G + 7670M Dual,523,B
HD 4400,521,B
GT 435M,521,B
MCT USB3.0 External Device,520,B
R5 240,520,B
HD 8670M,520,B
HD 7640G + HD 7670M Dual,519,B
8800 GT,519,B
GT 425M,517,B
IncrediblE HD 4000,517,B
HD P4000,516,B
R5 330,513,B
6600M,513,B
Mobility Radeon HD 4830,512,B
820M,511,B
HD 7640G + 7610M Dual,510,B
HD 7600G + HD 7550M Dual,509,B
HD 7620G + 8600M Dual,509,B
HD 7620G + HD 8670M Dual,507,B
9600 GT,505,B
GTS 150M,504,B
HD 7660D,504,B
HD 8450G + HD 8750M Dual,504,B
R7 M265DX,499,B
TRINITY SCRAPPER MOBILE,498,B
SUMO 964A,498,B
HD 7500G + 7550M Dual,497,B
ASUS EAH4870x2,496,B
R5 M255,496,B
HD 6570,496,B
HD 7520G + HD 7670M Dual,495,B
GT625M,493,B
GT 540M,493,B
Vega 2,491,B
HD8530M,490,B
HD 8670D N HD 8670D + HD 8670D Dual,489,B
HD 8550G + R5 M230 Dual,488,B
Mobility Radeon HD 5730,487,B
HD 7520G + 7400M Dual,487,B
R4E,487,B
HD 7670M,485,B
HD 8610G + HD 8600M Dual,481,B
9800 GT,481,B
Quadro K500M,480,B
Mobility Radeon HD 5000 Serisi,479,B
HD 8650G,479,B
Mobility Radeon HD 3870 X2,478,B
R5 M315,476,B
HD 7660G,476,B
HD 7640G + HD 8570M Dual,475,B
HD 8450G + 8670M Dual,475,B
HD 5570,473,B
FirePro 3D V3800,472,B
HD 7560D,472,B
HD 8570D + R5 235 Dual,471,B
HD 7600G + 8500M/8700M Dual,470,B
R5 M420,470,B
Quadro FX 1800M,469,B
800M,468,B
Quadro FX 3600M,467,B
GT 720M,467,B
Quadro FX 3700M,467,B
HD 8690A,466,B
SUMO 9644,466,B
HD 7660D + 7470 Dual,466,B
FirePro V5700,465,B
HD 7550M,465,B
Mobility Radeon HD 4670,463,B
8800M GTX,462,B
9800M GTX,462,B
9800M GS,460,B
GT 525M,460,B
HD 7660G + HD 7600M N HD 7600M Dual,460,B
705M,456,B
HD 7520G + 7650M Dual,453,B
HD 7620G N HD 7620G + HD 8600M N HD 8600M D,452,B
HD 8450G + HD 8600M Dual,452,B
HIS DIGITAL HD 4650 AGP,452,B
R7 M260,452,B
Mobility Radeon HD 5650,451,B
HD 7650M,451,B
710A,451,B
HD Family,451,B
710M,450,B
Qualcomm Adreno 680 GPU,449,B
HD 7640G,448,B
HD 7520G + HD 7600M Dual,447,B
HD 7660G + 8600M Dual,446,B
PHDGD Ivy 5,445,B
HD 7570M,445,B
GT 320,444,B
GT 710M,444,B
HD 8350G,443,B
HD 7620G + HD 8600M Dual,443,B
8800 GTS,440,B
Quadro FX 4600,437,B
Quadro 410,436,B
HD 8410G,435,B
HD 7600G + HD Dual,435,B
GT 625M,435,B
HD 8570D,434,B
Quadro FX 2800M,433,B
HD 3850 AGP,432,B
R5 M240,432,B
GT 620M,431,B
800A,428,B
9800M GT,424,B
HD 7640G + HD 7500/7600 Dual,424,B
HD 7600G + 7550M Dual,423,B
HD 7640G N HD 7640G + HD 8570M Dual,423,B
HD6410D,423,B
GT 330,422,B
HD 8570M,422,B
4th Generation Haswell HD,420,B
R5 M320,418,B
GT 420M,418,B
HD 6550D,417,B
HD 8610G,414,B
GTX 260M,412,B
GT 420,411,B
HD 3850,410,B
GTS 350M,408,B
HD 7470M,408,B
HD 7640G + HD 7600M N HD 7600M Dual,407,B
FirePro M2000,406,C
HD 7600G + 7500M/7600M Dual,406,C
E4690,405,C
Quadro FX 1800,405,C
HD 8550G,403,C
810M,402,C
Mobility Radeon HD 4650,401,C
GT 335M,400,C
HD 8500M,397,C
R5 Opteron X3216,394,C
R5 M230,391,C
HD 7600G + 7450M Dual,390,C
IncrediblE HD,389,C
HD 5300,389,C
7900 GTX,388,C
Quadro FX 3700,384,C
HD 4670,384,C
HD 5550,383,C
8800M GTS,382,C
9800M GTS,379,C
HD 6490M,378,C
HD 7520G + 8750M Dual,377,C
HD 7600G + 6400M Dual,377,C
HD 8570D + HD8490 Dual,374,C
PHDGD Ivy 4,374,C
UHD 605,370,C
GT 610M / GT 620M / GT 710M / GT 720M / GT,369,C
Matrox Millennium P690 PCIe x16,367,C
Mobility Radeon HD 3850,366,C
HD 7620G,366,C
HD4670,366,C
HD 7520G N HD 7520G + HD 7600M N HD 7600M D,365,C
GT 620,365,C
HD 7660G + HD 8600M Dual,364,C
HD 8470D,362,C
HD 8510G,361,C
HD 8450G,361,C
Quadro FX 2700M,358,C
HD 7500G + HD 7500M/7600M Dual,356,C
GT 705,355,C
HD 6620G,355,C
Mobility Radeon HD 565v,353,C
HD 6480M,353,C
HD 7580D,351,C
9600 GSO,350,C
GT 130,347,C
9600 GSO 512,345,C
7950 GT,344,C
FirePro 3D V3750,341,C
HD 8310E,341,C
FireGL V5600,341,C
HD 7660D + HD 7400 Dual,340,C
HD 505,339,C
HD 8570D + HD 8470 Dual,338,C
HD 7540D,336,C
FirePro RG220,335,C
HD 4000,333,C
R5 310,332,C
8800 GS,332,C
FirePro V3800,332,C
HD 7500G,330,C
HD 7450M,330,C
GT 625,329,C
HD 7600G + HD 7400M Dual,329,C
R5 235,329,C
UHD 600,328,C
9700M GTS,326,C
GT 120 / 9500 GT,325,C
HD 6530D,325,C
E6460,324,C
GT 230,322,C
240M GT,320,C
HD 7600G,320,C
HD6370D,320,C
HD 8280,319,C
Mobility Radeon HD 560v,318,C
HD 7470,316,C
HD 7520G,312,C
HD 7420G,311,C
HD 7520G + 8600/8700M Dual,311,C
HD 8370D,311,C
Quadro FX 3500M,306,C
605,305,C
GT 610,303,C
R1E,301,C
Q965/Q963 Express,300,C
HD 6520G,300,C
R5E,300,C
HD P3000,297,C
GT 520,297,C
HD 500,294,C
9600M GT / GeForce GT 220M,293,C
GT 520MX,293,C
GRID K120Q,293,C
610M,292,C
Quadro FX 3500,292,C
HD 2900 GT,292,C
7800 GTX,291,C
IncrediblE HD 3000,291,C
HD 7450A,288,C
7950 Xtreme,288,C
GT 520M,288,C
GT 415M,286,C
NVS 315,286,C
Mobile Intel HD,285,C
HD 7480D,285,C
Mobility Radeon HD 5165,284,C
HD 2600 XT,283,C
R5 235X,280,C
9600 GS,279,C
HD 6370M,276,C
HD 8400E,273,C
9650M GS,270,C
Go 7900 GTX,270,C
HD 8280G,270,C
Qualcomm Adreno 630 GPU,268,C
HD 5470,268,C
HD 7400G,267,C
GT 120M,266,C
Mobility Radeon HD 550v,266,C
HD 8490,265,C
Go 7950 GTX,264,C
HD 6450A,260,C
HD 6480G,259,C
7900 GT,258,C
HD 8400,258,C
HD 3000,257,C
HD 8470,257,C
NVS 4200M,257,C
510,257,C
7900 GS,254,C
Quadro NVS 510M,254,C
HD 6370D,254,C
HD 8330,252,C
HD 7640G + 8600M Dual,250,C
410M,250,C
GT 415,248,C
7900 GT/GTO,247,C
CARRIZO 9874,247,C
7800 GT,244,C
HD 6410D,243,C
NVS 310,242,C
Quadro FX 5500,242,C
HD 8330E,242,C
HD 8240,241,C
HD 8280E,241,C
HD4650,240,C
HD 7640G + R5 M230 Dual,239,C
Mobility Radeon HD 5470,236,C
Quadro FX 4500 X2,236,C
HD 4550,236,C
Mobility Radeon HD 3670,232,C
E6465,231,C
R2E,229,C
HD 6470M,228,C
Quadro FX 4500,226,C
R5 230,222,C
HD6450,221,C
HD 7340M,221,C
HD 7450,221,C
A6 Micro 6500T Quad Core APU with RadeonR4,220,C
320M,219,C
Mobility FireGL V5725,219,C
Quadro FX 880M,219,C
HD 4650,219,C
Quadro FX 2500M,218,C
9700M GT,217,C
HD 6320 Graphic,216,C
Mobility Radeon. HD 5470,215,C
Mobility Radeon HD 5450,214,C
HD 2000,213,C
WinFast GT 610,212,C
2nd Generation SandyBridge HD,212,C
GT 220,211,C
HD 2600 PRO,211,C
Go 7800 GTX,210,C
Go 7600 GT,210,C
GT 330M,209,C
HD 4650 AGP,208,C
HD 8250,208,C
R3E,206,C
i gfx driver ci master 9938,206,C
Barco MXRT 1450,206,C
GT 240M,205,C
2nd Generation SandyBridge HD 3000,205,C
Quadro NVS 290,205,C
HD 6380G,204,C
7600 GT,204,C
7950 GX2,202,C
GT 230M,201,C
G200,200,C
Mobility Radeon HD 545v,200,C
HD 6450,200,C
HD7450,199,C
Quadro FX 770M,198,C
HD 6320M,198,C
HD 7340G,196,C
6800 GS,195,C
Infoshock HD,194,C
HD 8210E,194,C
HD 6430M,193,C
HD 7350,193,C
Mobility Radeon HD 2600 XT,192,C
Mobility Radeon HD 4550,191,C
HD 8210,191,C
NVS 5100M,190,C
Quadro FX 1500,190,C
Mobility Radeon HD 540v,188,C
505,187,C
Quadro FX 380,186,C
Quadro FX 1600M,186,C
Quadro FX 3450/4000 SDI,186,C
Mobility Radeon HD 5430,181,C
HD 7310G,181,C
FireGL V3600,180,C
Barco MXRT 7100,180,C
FirePro 3D V3700,179,C
HD 6230,179,C
7800 GS,177,C
Go 7900 GS,176,C
GT 120,175,C
Mobility Radeon HD 530v,175,C
HD 7310 Carte graphique,174,C
Quadro FX 1700M,173,C
GT 325M,171,C
Quadro FX 1500M,171,C
9200,171,C
HDG 4670,170,C
FirePro 2460,170,C
Mobility Radeon HD 2600,168,C
HD 7310M,166,C
HD manual gen9 2015 133271,165,C
HD 8350,165,C
VIA/S3G C 645/640 GPU,163,C
8600 GTS,161,C
315,159,C
7600 GS,158,C
9200M GE,157,C
9500 GS,157,C
HD 7340,157,C
Quadro FX 570,156,C
HD 4300/4500 Serisi,156,C
Quadro FX 580,155,C
8200,153,C
HD 8180,152,C
HD 3670,151,C
305M,151,C
X1950 CrossFire Edition,151,C
HD 3650 AGP,150,C
Quadro FX 3450,149,C
Go 7700,148,C
Mobility Radeon HD 4350,148,C
HD 6320,148,C
FirePro 2270,147,C
G100,147,C
ZX Chrome 645/640 GPU,147,C
Quadro 400,146,C
GT 130M,146,C
X1900 GT,146,C
S3 5400EW,145,C
Q35 Express,143,C
Q45/Q43 Express Chipset,142,C
HD 6300M,142,C
6800 GT,142,C
HD 6350,141,C
X1800 GTO,141,C
EG PARK,141,C
HD 4290,141,C
nForce 760i SLI,140,C
HD 6290M,140,C
6800 Ultra,139,C
Haswell HD GT2,139,C
NVS 2100M,139,C
Go 6800 Ultra,138,C
HD 5450,138,C
9650M GT,137,C
6600 GT,137,C
X1900 CrossFire Edition,137,C
Quadro FX 380 LP,136,C
R5 220,135,C
Mobility Radeon HD 4330,135,C
Mobility Radeon X1900,135,C
Mobility Radeon HD 4570,135,C
9500 GT,135,C
7300 GT,135,C
EAH5450,134,C
7650 GS,134,C
9800 GT 1024MB,134,C
G102M,134,C
9600M GT,132,C
RadeonT,132,C
MOBILITY RADEON X1800,130,C
X800 SE,130,C
HD 7310,130,C
Mobility Radeon HD 3650,130,C
9300 / nForce 730i,129,C
FireGL V7300,128,C
6800 XT,128,C
8400 GS,128,C
Go 7600,128,C
Quadro NVS 320M,128,C
All in Wonder X1900,127,C
9300,127,C
HD 3300,127,C
205,126,C
Seria Mobility Radeon HD 3400,125,C
Quadro FX 380M,124,C
Quadro FX 1400,124,C
8700M GT,124,C
M76M,124,C
HD 7290M,123,C
HD 4250,123,C
Matrox G200e WDDM 2.0,123,C
Haswell HD GT1,123,C
HD 6310,123,C
9500M G,122,C
G210M,122,C
310,122,C
405,122,C
GT 220M,121,C
HD 2400,121,C
Extreme AX850 PRO,120,C
Qualcomm Adreno 540 GPU,120,C
Qualcomm Adreno 618 GPU,120,C
HD 2400 XT,119,C
9600M GS,119,C
RV530 PRO,119,C
Quadro FX 1700,118,C
HD 3450,118,C
FireMV 2260,117,C
8600 GT,117,C
Mobile Intel 45 Express Chipsatzfamilie,117,C
PHDGD Quantic C3,117,C
X1700 Targa Edition,117,C
315M,116,C
FireGL V7200,116,C
X1600 XT,116,C
FireGL V5200,115,C
8500 GT,115,C
Go 7800,115,C
NVS 3100M,115,C
HD 7290,115,C
X800 GTO,115,C
NVS 300,114,C
Quadro FX 560,114,C
HD 2400 Pro,114,C
Sapphire RADEON X800 GT,113,C
FirePro 2260,113,C
6800,113,C
X1950 Pro,113,C
HD Modded,112,C
9400,112,C
HD 4200,112,C
FireGL V7350,111,C
310M,111,C
9200M GS,111,C
9300 GS,111,C
Mobility Radeon HD 3400 Serisi,111,C
Quadro FX 570M,111,C
6800 LE,110,C
HD 2600 Pro AGP,110,C
HD 4270,110,C
VIA/S3G Chrome 645/640 GPU,110,C
XFX Radeon HD 4650 AGP,110,C
HD 6290,109,C
HD 4330,109,C
G105M,108,C
Quadro FX 370 LP,108,C
GT 320M,107,C
Infoshock 3000,107,C
Go 6800,106,C
GeForce9400M,106,C
X1950 GT,106,C
9400 GT,105,C
9450,105,C
Mobility Radeon X1700,105,C
9500M GS,104,C
9500M,104,C
Quadro FX 3400/4400,104,C
M880G with Mobility Radeon HD 4250,104,C
6800 GS/XT,103,C
FireGL V3400,103,C
G210,103,C
Quadro FX 370 Low Profile,103,C
HD 4350,103,C
8300,102,C
Mobility Radeon HD 2400 XT,102,C
Quadro FX Go1400,102,C
Quadro FX 4000,101,C
Media Accelerator HD,99,C
X1600 Pro,99,C
3000,98,C
ION LE,98,C
9300GE,98,C
Mobility Radeon HD 3430,98,C
Mobility Radeon HD 4250,98,C
X800 XT,98,C
8400M GS,98,C
Quadro NVS 130M,97,C
Mobility Radeon HD serie 4200,97,C
210,97,C
6700 XL,95,C
MEDION RADEON X740XL,95,C
Matrox G200eW3 WDDM 2.0,94,C
Mobility Radeon HD 3470 Hybrid X2,94,C
HD 6250,94,C
Mobility Radeon HD 3470,93,C
FireGL V5100,93,C
M880G with Mobility Radeon HD 4200,93,C
Quadro NVS 150M,93,C
Mobility Radeon HD 4270,93,C
Quadro FX 370M,93,C
G205M,92,C
9300M GS,92,C
Mobility Radeon X1600,92,C
8600 GS,92,C
X600XT,92,C
nForce 780a SLI,92,C
Mobility Radeon HD 4200,91,C
Mobility Radeon HD 3450,91,C
Mobility Radeon HD 2400,90,C
HD 3470,90,C
6610 XL,89,C
8600M GT,89,C
6600,88,C
7500 LE,87,C
Quadro FX 360M,87,C
G33/G31 Express,86,C
ION,86,C
Quadro FX 350,86,C
FireGL V3200,85,C
9300M G,85,C
X1650 Pro,85,C
Quadro FX 370,84,C
X800 GT,84,C
X1300 PRO,84,C
9300 GE,84,C
999 GTX,84,C
ALL IN WONDER X800 GT,84,C
G41 Express Chipset,83,C
nForce 750a SLI,83,C
9300 SE,82,C
7300 GS,82,C
9100,82,C
MOBILITY FireGL V5000,82,C
Mobility Radeon X2500,82,C
HD 3200,82,C
X850 XT Platinum Edition,82,C
nForce 980a/780a SLI,82,C
X800 XT Platinum Edition,81,C
Quadro FX 540,81,C
Mobility Radeon 4100,81,C
8400,81,C
X850 XT,81,C
X800GT,80,C
8100 / nForce 720a,79,C
7300 LE,78,C
HD 2350,77,C
M860G with Mobility Radeon 4100,76,C
Quadro NVS 160M,76,C
X700 PRO,76,C
9400M,75,C
G45/G43 Express Chipset,75,C
Quadro NVS 295,75,C
X1650 GTO,75,C
FireMV 2450,74,C
7350 LE,74,C
3100,74,C
X700,73,C
X800 PRO/GTO,73,C
X850 PRO,73,C
Mobility Radeon HD 4300 Serisi,73,C
8600M GS,73,C
M880G with Mobility Radeon HD 4225,72,C
MEDION RADEON 9800 XXL,72,C
FireGL V7100,72,C
8200M G,72,C
X1650 SE,71,C
X550XTX,71,C
X700 SE,71,C
FireGL V3300,71,C
BASICDISPLAY,70,C
Diamond X1300 PCIE 256MB,70,C
9100M G,70,C
Quadro NVS 420,70,C
FireGL V3350,69,C
Go 6600,69,C
Quadro FX 3000,69,C
X1600 Pro / X1300XT,69,C
X800 XL,69,C
8400 SE,68,C
9400M G,68,C
B43 Express Chipset,68,C
G45/G43/G41 Express Chipset,68,C
Matrox G200eR WDDM 2.0,68,C
Quadro NVS 135M,67,C
256MB RADEON X600,67,C
8300 GS,67,C
X1550,67,C
MOBILITY RADEON X700,67,C
128MB DDR Radeon 9800 Pro,66,C
Go 7400,66,C
Mobility Radeon HD 4225,66,C
G 105M,65,C
X800 PRO,65,C
Quadro NVS 450,64,C
Quadro FX 550,64,C
M71 M,64,C
8400M GT,64,C
HD manual 15.28 1861,63,C
Mobility Radeon HD 3410,63,C
128 DDR Radeon 9800 Pro,62,C
MOBILITY FireGL V3200,62,C
SAPPHIRE Radeon X1550,61,C
G 103M,61,C
MOBILITY RADEON X700 XL,60,C
2100,60,C
8400M G,59,C
Matrox G200e WDDM 1.2,59,C
FX 5950 Ultra,59,C
9800 PRO,59,C
6800 XE,59,C
FireGL X1,59,C
9800,58,C
Mobile Intel 965 Express,58,C
X1300,58,C
Express Chipset Q45/Q43,58,C
Express Chipset G41,57,C
X600 256MB HyperMemory,57,C
9800 XT,57,C
G41 Express Chipsatz,57,C
Q45/Q43 Express Chipsatz,57,C
X550XT,56,C
9700 PRO,54,C
FireGL V3100,53,C
Go 7300,52,C
Matrox G200eh WDDM 1.2,52,C
7100 GS,52,C
E2400,52,C
Xpress 1300,52,C
FX Go5700,51,D
FirePro 2450,51,D
X550,51,D
6600 LE,51,D
Mobility Radeon HD 2300,51,D
Matrox G200eW WDDM 1.2,50,D
MOBILITY RADEON X600,50,D
MOBILITY RADEON X600 SE,49,D
7300 SE/7200 GS,49,D
128MB RADEON X600 SE,49,D
X1050,49,D
Mobility Radeon X2300 HD,49,D
X1600,49,D
Quadro NVS 140M,49,D
Quadro NVS 110M,48,D
Mobility Radeon X2300,48,D
X1550 64 bit,48,D
SAPPHIRE RADEON 9600 ATLANTIS,47,D
Quadro NVS 120M,47,D
FireMV 2250,46,D
6200 TurboCache,46,D
MOBILITY RADEON 9800,46,D
MOBILITY FireGL V5200,45,D
Matrox G200eh WDDM 2.0,45,D
Mobile Intel serie 4 Express,45,D
Quadro FX 350M,45,D
Matrox G200eR WDDM 1.2,45,D
Go 6600 TE/6200 TE,45,D
Go 7200,45,D
Mobile Intel 4 Express Chipsatzfamilie,45,D
128 DDR Radeon 9700 TX w/TV Out,44,D
Xpress 1250,43,D
Mobility Radeon X1400,43,D
9600 PRO,43,D
Matrox M9138 LP PCIe x16,42,D
Mobile Intel 45 Express,42,D
9500 PRO / 9700,42,D
FX 5900 Ultra,41,D
FX 5700,41,D
MOBILITY FIREGL T2,41,D
Matrox G200eh,41,D
Gigabyte RADEON X300,41,D
Matrox G200eW,40,D
FX 5900XT,40,D
Mobility Radeon X1300,40,D
S3 Chrome 430 ULP,40,D
Xpress 1300M,40,D
Mobility Radeon X1350,40,D
Mobile Intel famiglia Express Chipset 45,39,D
7300 SE,39,D
Quadro NVS 285,39,D
MOBILITY RADEON 9600/9700,39,D
GIGABYTE RADEON 9600 PRO,39,D
7050 / nForce 620i,39,D
256MB DDR Radeon 9800 XT,38,D
Quadro NVS 440,38,D
X300SE,38,D
7050 / nForce 630i,38,D
Quadro NVS 285 128MB,38,D
6500,38,D
6200SE TurboCache,37,D
Matrox G200eR,37,D
X1250,37,D
FireMV 2200 PCIe,36,D
Quadro FX 1100,36,D
MOBILITY RADEON 9600,36,D
9500,36,D
Xpress 1200,36,D
CONNECT 3D RADEON X300,36,D
9600 XT,35,D
7100 / nForce 630i,35,D
6200,35,D
PCX 5750,35,D
FX 5900,35,D
9550,35,D
MOBILITY RADEON X300,34,D
MOBILITY FIREGL T2/T2e,34,D
Xpress 1100,34,D
Quadro FX 1300,34,D
7025 / nForce 630a,34,D
FX 5700 Ultra,34,D
PCX 5900,34,D
Quadro FX 1000,34,D
FX 5700VE,33,D
Media Accelerator,33,D
6150 LE,33,D
7150 / nForce 630i,33,D
S3 Chrome S27 DDR3,33,D
X1200,33,D
FX 5900ZT,33,D
Mobility Radeon X1450,33,D
Matrox M9148 LP PCIe x16,32,D
Red Hat QXL controller,32,D
6200 A LE,32,D
FireGL T2 128,31,D
6200 LE,31,D
7050 PV / nForce 630a,31,D
OpenXT Display Driver,31,D
X1270,31,D
XPRESS 200,30,D
6150SE nForce 430,30,D
All in Wonder X1800XL,30,D
Xpress 1150,30,D
MOBILITY RADEON 9550,30,D
Matrox M9128 LP PCIe x16,29,D
9550 / X1050,29,D
9600SE,27,D
MOBILITY RADEON 9700,27,D
MOBILITY FireGL V5250,27,D
6100,27,D
9600 PRO Family,27,D
Xpress 1270,27,D
MOBILITY RADEON XPRESS 200,27,D
PHDGD Sapphire GR for Mobile Intel 965,26,D
7100 / nForce 620i,26,D
Matrox M9120 Plus LP PCIe x16,26,D
Matrox M9125 PCIe x16,26,D
MOBILITY RADEON 9600 PRO TURBO,25,D
9600 Family,25,D
6100 nForce 405,25,D
G965 Express,25,D
6100 nForce 400,25,D
6150SE,25,D
FX 5700LE,25,D
6100 nForce 420,25,D
Mobile Intel 965 Express Chipsatzfamilie,24,D
Go 6400,24,D
Quadro NVS 210S,24,D
7050 / nForce 610i,24,D
9800 SE,24,D
ALL IN WONDER 9800,23,D
6100 nForce 430,23,D
7200 GS,23,D
Matrox M9140 LP PCIe x16,23,D
A9800XT,23,D
XPRESS 200M,23,D
6150,22,D
9xx Soldiers sans frontiers Sigma 2,22,D
Quadro NVS 210S / GeForce 6150LE,21,D
Matrox M9120 PCIe x16,20,D
PHDGD Solo 2 x64,20,D
Go 6150,19,D
QXL KMDOD,19,D
FX Go 5600,18,D
Go 6100,18,D
Quadro FX 2000,18,D
9600 TX Family,18,D
XPRESS 200 CROSSFIRE,18,D
S3 Chrome S25 DDR2,18,D
Mobile Intel965 Express,18,D
