canonical_name,benchmark_score,tier
AMD Ryzen Threadripper 2920X,25203,S
Intel Xeon W-1370P,25202,S
Intel Xeon Gold 5218R,25191,S
AMD Ryzen 7 PRO 5750G,25004,S
AMD EPYC 7501,24925,S
Intel Xeon Gold 6138T,24800,S
Intel Xeon Gold 6143,24786,S
Intel Core i7-11700K,24749,S
Intel Xeon W-2170B,24745,S
Intel Xeon E5-2699 v4,24619,S
AMD Ryzen 7 5700G,24545,S
Intel Xeon Gold 6150,24489,S
Intel Xeon Gold 6246,24446,S
AMD Ryzen 9 6900HS,24390,S
AMD Ryzen 7 PRO 6850U,24352,S
Intel Xeon Gold 6248,24234,S
Intel Core i7-11700KF,24147,S
Intel Xeon W-1370,23908,S
Intel Xeon W-11955M,23859,S
AMD Ryzen 7 3800XT,23815,S
Intel Core i9-11900F,23814,S
Intel Core i9-10900K,23768,S
Intel Core i9-11980HK,23629,S
Intel Xeon Silver 4310,23589,S
AMD EPYC 7351,23566,S
Intel Xeon E5-2696 v3,23556,S
Intel Core i5-12500H,23530,S
Intel Xeon W-1390,23515,S
Intel Xeon E5-2679 v4,23512,S
Intel Core i9-10900KF,23508,S
Intel Xeon E-2388G,23501,S
AMD Ryzen 7 6800H,23447,S
Intel Xeon Gold 6146,23432,S
AMD Ryzen 9 5980HX,23425,S
Intel Core i9-7920X,23292,S
AMD Ryzen 7 3800X,23275,S
Intel Xeon W-2175,23215,S
Intel Xeon E5-2696 v4,23207,S
Intel Xeon Platinum 8176,23179,S
AMD Ryzen 9 5900HX,23160,S
Intel Core i5-1250P,23120,S
Intel Core i9-11900,23117,S
Intel Core i9-10850K,23055,S
AMD EPYC 7F32,23026,S
Intel Xeon W-1290P,22997,S
AMD Ryzen Threadripper 1920X,22903,S
Intel Xeon Gold 6138,22851,S
AMD Ryzen 7 PRO 3700,22800,S
Intel Core i9-11900KB,22769,S
Intel Xeon Gold 6140,22733,S
AMD Ryzen 7 3700X,22716,S
Intel Core i7-12700T,22688,S
Intel Core i9-10900X,22683,S
Intel Core i9-11950H,22570,S
AMD Ryzen 7 5700GE,22566,S
Apple M1 Max 10 Core 3200 MHz,22566,S
Intel Core i7-11700B,22539,S
AMD Ryzen 7 PRO 5750GE,22315,S
Apple M1 Pro 10 Core 3200 MHz,22314,S
Intel Xeon Platinum 8124M,22298,S
