canonical_name,benchmark_score,tier
Intel Core i5-3170K,8882,A
Intel Xeon E3-1270 v6,8862,A
Intel Core i3-10100F,8854,A
Intel Xeon E3-1240 v6,8853,A
Intel Core i3-10100,8800,A
Intel Xeon Gold 5122,8771,A
Intel Core i7-8809G,8759,A
Intel Core i7-8559U,8745,A
Intel Xeon E-2134,8741,A
AMD Ryzen 5 2400G,8729,A
Intel Core i5-10300H,8692,A
Intel Xeon W-2223,8686,A
ARM X-Gene 32 Core 3300 MHz,8684,A
Intel Core i7-1065G7,8668,A
Intel Xeon E3-1245 v6,8659,A
Intel Core i7-7700,8638,A
Intel Xeon E5-4650,8630,A
Intel Xeon E5-2648L v2,8611,A
Intel Core i7-3960X,8596,A
Apple A14 Bionic,8541,A
Intel Core i7-8569U,8523,A
Intel Xeon W-2123,8489,A
AMD Ryzen Embedded V1807B,8488,A
Intel Xeon E5-4650L,8472,A
Intel Xeon E5-2628 v3,8447,A
Intel Xeon E-2314,8422,A
Intel Xeon E3-1275 v5,8421,A
Intel Xeon E5-1660,8417,A
Intel Core i5-10200H,8414,A
Intel Xeon E5-2665,8411,A
Intel Xeon E3-1585 v5,8408,A
Intel Xeon E3-1230 v6,8408,A
Intel Core i5-9600T,8393,A
Intel Core i7-8706G,8388,A
Intel Core i5-1035G7,8388,A
AMD Ryzen 5 PRO 2400G,8378,A
Intel Core i7-3970X,8373,A
Intel Core i7-10810U,8353,A
Intel Xeon E3-1280 v5,8320,A
AMD Opteron 6386 SE,8320,A
Intel Xeon E3-1270 v5,8317,A
AMD Ryzen 7 3750H,8277,A
AMD Ryzen 5 PRO 3400GE,8269,A
Intel Core i5-9400H,8261,A
Intel Core i5-9500T,8256,A
Intel Xeon E3-1240 v5,8254,A
Intel Core i5-1035G4,8251,A
Intel Core i7-3930K,8244,A
Intel Xeon E5-2470,8240,A
Intel Core i3-10100E,8229,A
Intel Core i5-8600T,8227,A
Intel Core i7-8557U,8225,A
AMD Ryzen Embedded V1756B,8215,A
Intel Xeon E3-1535M v6,8184,A
Intel Xeon E-2276ME,8167,A
Intel Core i3-10305T,8136,A
AMD Ryzen 5 2400GE,8134,A
Intel Core i5-8259U,8131,A
Intel Xeon E5-1650,8113,A
Intel Xeon E5-2660,8104,A
Intel Core i7-6700,8078,A
Intel Xeon E3-1245 v5,8073,A
Intel Core i7-4790K,8061,A
Intel Core i5-8269U,8055,A
Intel Core i5-8400H,8037,A
AMD Opteron 6348,8030,A
Intel Core i5-8279U,8028,A
Intel Xeon E3-1285L v4,8022,A
Intel Xeon E3-1585L v5,8021,A
Intel Core i3-10300T,7997,A
AMD Ryzen 5 3550H,7994,A
Intel Core i7-8709G,7990,A
Intel Core i7-8705G,7947,A
Intel Xeon E3-1515M v5,7938,A
Intel Xeon E3-1545M v5,7930,A
Intel Xeon E5-2620 v3,7906,A
Intel Xeon E3-1230 v5,7880,A
Intel Core i5-8260U,7854,A
Intel Core i3-10105T,7850,A
AMD Ryzen 5 3580U,7846,A
AMD Ryzen 5 2600H,7836,A
Intel Core i5-9400T,7819,A
Intel Core i7-5775C,7801,A
Intel Core i5-9300H,7793,A
AMD Ryzen 5 1400,7783,A
Intel Xeon E3-1260L v5,7757,A
Intel Xeon E5-2640 v2,7741,A
Intel Core i5-1035G1,7737,A
Intel Xeon D-2123IT,7731,A
AMD Ryzen 3 PRO 1300,7717,A
Intel Core i7-5775R,7714,A
AMD Athlon Gold PRO 3150G,7702,A
Intel Core i5-8500T,7699,A
Intel Core i7-5950HQ,7696,A
Intel Core i3-9350K,7694,A
Intel Core i7-7820HK,7682,A
AMD Ryzen 5 3550U,7681,A
Intel Core i5-8257U,7680,A
Intel Core i5-9300HF,7678,A
Intel Xeon E3-1270L v4,7662,A
AMD Ryzen 7 2800H,7656,A
AMD Ryzen 7 3780U,7651,A
Intel Xeon E3-1575M v5,7629,A
Intel Xeon E3-1285 v4,7614,A
Intel Xeon E5-1630 v4,7585,A
Intel Xeon E5-2623 v4,7582,A
AMD Ryzen 3 4300U,7568,A
AMD Ryzen 3 2300X,7566,A
Intel Core i7-7700T,7561,A
Intel Xeon E-2224G,7545,A
Intel Core i5-8300H,7542,A
AMD Ryzen 5 PRO 2400GE,7530,A
Intel Xeon E3-1535M v5,7523,A
Intel Xeon E-2124G,7518,A
Intel Xeon E5-2667,7501,A
Intel Xeon E5-2637 v3,7485,A
Intel Xeon E5-2650L v2,7475,A
Intel Xeon E5-2630 v2,7470,A
Intel Xeon E5-1630 v3,7456,A
Intel Core i7-7820EQ,7453,A
Intel Core i7-7920HQ,7449,A
Intel Xeon D-1531,7447,A
Intel Core i5-8400T,7447,A
Intel Xeon E5-1620 v4,7437,A
Intel Xeon E3-1271 v3,7432,A
Intel Xeon E3-1286 v3,7418,A
Intel Xeon E5-2450,7410,A
Intel Xeon E3-1281 v3,7406,A
Intel Core i3-10100T,7405,A
Intel Core i7-6920HQ,7378,A
AMD Ryzen 7 PRO 2700U,7372,A
Intel Xeon,7363,A
Intel Core i3-9320,7358,A
Intel Xeon D-1559,7353,A
Intel Xeon E3-1276 v3,7345,A
Intel Xeon E5-2650,7335,A
Intel Core i3-9350KF,7318,A
AMD Ryzen 3 3200GE,7317,A
AMD Ryzen 7 3700U,7317,A
AMD Ryzen 7 PRO 3700U,7310,A
Intel Core i3-9300,7279,A
AMD Opteron 6281,7279,A
Intel Core i7-6700T,7271,A
Intel Xeon E3-1280 v3,7256,A
Intel Xeon E3-1270 v3,7245,A
Intel Core i7-4790,7235,A
Intel Xeon E5-4610 v3,7229,A
Intel Xeon E-2224,7223,A
Intel Xeon E3-1246 v3,7218,A
Intel Core i7-7820HQ,7209,A
Intel Xeon W3690,7208,A
AMD Ryzen 3 3200G,7188,A
Intel Xeon E5-2628L v2,7181,A
Intel Xeon D-1537,7176,A
Intel Xeon D-1539,7175,A
Intel Core i7-6770HQ,7145,A
AMD Ryzen 7 3700C,7145,A
Intel Xeon E3-1275 v3,7143,A
Intel Core i7-990X,7137,A
Intel Core i7-4770K,7129,A
Intel Xeon D-1557,7118,A
AMD Ryzen 5 3500U,7102,A
Intel Xeon X5679,7095,A
AMD Athlon Gold PRO 3150GE,7093,A
Intel Xeon E3-1505M v5,7092,A
Intel Xeon E3-1505M v6,7080,A
Intel Core i7-995X,7079,A
Intel Core i7-4771,7074,A
Intel Core i5-8305G,7073,A
AMD Ryzen 3 PRO 3200GE,7071,A
Intel Xeon E3-1241 v3,7070,A
Intel Xeon E3-1240 v3,7065,A
Intel Core i7-10610U,7062,A
Intel Core i7-4940MX,7060,A
Intel Core i7-1060NG7,7045,A
AMD Ryzen 3 PRO 3200G,7037,A
Intel Core i7-5850EQ,7036,A
Intel Core i7-4770,7030,A
Intel Core i7-980,7018,A
Intel Xeon E5-4640,7012,A
Intel Xeon E3-1245 v3,7008,A
AMD Athlon Gold 3150G,7002,A
Intel Xeon E3-1231 v3,6998,A
Intel Xeon E5-1620 v3,6991,A
Intel Xeon E3-1285 v3,6987,A
Intel Xeon E5-4607 v2,6986,A
Intel Xeon E-2124,6977,A
AMD Ryzen 5 PRO 3500U,6968,A
Intel Core i7-7700HQ,6957,A
Intel Xeon E3-1265L v4,6954,A
Intel Core i7-4790S,6954,A
Intel Core i7-6820HQ,6939,A
Intel Xeon E5-2440 v2,6927,A
AMD Ryzen 3 1300X,6925,A
AMD Opteron 6287 SE,6925,A
Intel Core i7-6820EQ,6924,A
AMD Ryzen 5 PRO 2500U,6921,A
Intel Xeon W3680,6917,A
Intel Core i7-6820HK,6906,A
Intel Xeon E5-2637 v4,6897,A
Intel Pentium Gold G7400,6896,A
AMD Ryzen 7 2700U,6895,A
Intel Core i5-7600K,6869,A
Intel Xeon E5-2623 v3,6869,A
Intel Xeon X5690,6867,A
Intel Core i7-5850HQ,6866,A
Intel Xeon E5-2430 v2,6864,A
Intel Core i3-8350K,6862,A
Intel Xeon E3-1285L v3,6848,A
Intel Core i7-10510U,6837,A
Intel Xeon E5-4620,6830,A
AMD Ryzen 5 3450U,6824,A
AMD Ryzen Embedded V1605B,6822,A
Intel Core i7-4770S,6819,A
Intel Core i7-980X,6813,A
Intel Xeon X5680,6811,A
AMD Ryzen 3 2200G,6781,A
Intel Core i7-4960HQ,6779,A
Intel Xeon E5-2448L v2,6774,A
Intel Pentium Gold 8505,6771,A
AMD FX-9590 Eight-Core,6768,A
Intel Core i3-9100F,6768,A
Intel Core i7-4980HQ,6767,A
Intel Xeon E3-1230 v3,6760,A
Intel Core i7-4930MX,6753,A
Intel Core i7-6700TE,6734,A
AMD Ryzen 3 PRO 2200G,6703,A
Intel Core i5-7640X,6675,A
Intel Core i5-10310U,6658,A
AMD Opteron 6380,6645,A
AMD Ryzen Embedded R2314,6643,A
Intel Core i3-9100,6625,A
Intel Xeon E3-1275 V2,6613,A
Intel Xeon E5-2630L v2,6610,A
Intel Core i7-1180G7,6607,A
Intel Core i5-7600,6598,A
MT6891Z/CZA,6596,A
Intel Xeon Platinum 8151,6591,A
Intel Xeon E5-1428L v2,6566,A
AMD Ryzen 5 2500U,6555,A
"Qualcomm Technologies, Inc SA8195P",6554,A
Intel Core i7-6700HQ,6544,A
AMD Ryzen 3 2200GE,6537,A
Intel Xeon E5-1620 v2,6535,A
Intel Xeon W3670,6534,A
"Odin based on Qualcomm Technologies, Inc SM8350",6533,A
Intel Xeon E3-1280 V2,6511,A
Intel Core i7-4820K,6501,A
Intel Core i7-970,6499,A
Intel Core i7-3770K,6462,A
Intel Xeon E3-1290 V2,6461,A
Intel Xeon E5-4610,6460,A
Intel Xeon E3-1286L v3,6450,A
Intel Xeon E3-1270 V2,6431,A
Intel Core i7-4770R,6429,A
Intel Xeon Silver 4112,6420,A
MT6893Z_C/CZA,6418,A
Intel Xeon E5-2608L v3,6415,A
Intel Core i5-10210U,6401,A
Intel Core i7-3770,6397,A
Intel Core i7-4870HQ,6387,A
AMD Opteron 6282 SE,6385,A
"Qualcomm Technologies, Inc SM8350AC",6385,A
Intel Core i7-8665U,6383,A
Intel Xeon X5675,6378,A
Intel Xeon E5-2420 v2,6362,A
Intel Core i7-8565U,6358,A
Intel Core i7-8650U,6358,A
AMD Ryzen 3 PRO 1200,6347,A
Intel Xeon E-2254ML,6333,A
Intel Xeon E5-2640,6321,A
Intel Xeon E3-1245 V2,6316,A
Intel Xeon E3-1225 v6,6312,A
Intel Core i5-6600K,6307,A
AMD Ryzen 3 1200,6304,A
Intel Xeon E3-1240 V2,6301,A
Intel Core i7-4760HQ,6300,A
Intel Core i7-4850HQ,6299,A
Intel Xeon E5-4617,6298,A
Intel Core i7-4790T,6291,A
Intel Core i5-8350U,6284,A
Intel Core i3-1115G4,6273,A
Intel Core i7-4910MQ,6265,A
Intel Xeon E5-2620 v2,6246,A
AMD Opteron 6276,6245,A
Intel Xeon E5-2637 v2,6244,A
Intel Core i5-8365U,6239,A
Intel Xeon D-1622,6205,A
Intel Xeon W-2104,6202,A
Intel Xeon E3-1230 V2,6192,A
Intel Core i7-8565UC,6187,A
Intel Core i5-1030NG7,6180,A
Intel Core i7-3770S,6178,A
Intel Xeon E3-1240L v5,6173,A
Intel Core i3-8100,6163,A
Intel Core i3-9300T,6162,A
SM7325,6145,A
AMD Ryzen 3 PRO 3300U,6144,A
Intel Core i7-4860HQ,6138,A
Intel Core i3-8300,6136,A
Intel Xeon E5-2630,6131,A
AMD FX-8370 Eight-Core,6128,A
Intel Core i7-4770HQ,6125,A
Intel Core i5-6600,6107,A
Intel Xeon X5660,6107,A
Intel Core i5-8265U,6103,A
Intel Xeon X5670,6090,A
Intel Core i7-5675C,6089,A
Intel Xeon E3-1505L v6,6088,A
Intel Core i3-8100B,6081,A
Intel Xeon E3-1268L v5,6079,A
Intel Core i5-7600T,6073,A
Intel Xeon E5-2658,6073,A
AMD Opteron 6344,6069,A
Intel Core i5-7500,6064,A
Intel Xeon E-2104G,6057,A
Intel Core i7-4900MQ,6051,A
AMD EPYC 3101 4-Core,6050,A
Intel Xeon E3-1275L v3,6035,A
Intel Core i7-4810MQ,6034,A
Intel Core i7-5700HQ,6023,A
vendor Kirin990,5998,A
Intel Core i5-8265UC,5988,A
Intel Xeon E3-1265L v3,5987,A
AMD FX-9370 Eight-Core,5985,A
AMD Ryzen 3 PRO 2300U,5982,A
AMD FX-8350 Eight-Core,5969,A
Intel Core i7-3840QM,5966,A
Intel Core i7-8550U,5964,A
Intel Xeon E3-1225 v5,5961,A
Intel Core i5-8250U,5941,A
Intel Xeon E5-2650L,5929,A
AMD Ryzen Embedded V1404I,5917,A
Intel Xeon D-1528,5910,A
MT6893Z/CZA,5908,A
Intel Core i7-5700EQ,5905,A
AMD Ryzen 3 3350U,5904,A
Intel Xeon E5-2430L v2,5903,A
Intel Xeon E5-2440,5900,A
AMD Ryzen 3 PRO 2200GE,5897,A
AMD Opteron 6378,5889,A
Intel Xeon D-1521,5876,A
Intel Xeon E5-1620,5871,A
Intel Xeon E5-2430,5863,A
Intel Xeon E5-1410 v2,5842,A
vendor Kirin985,5834,A
Intel Core i7-4800MQ,5829,A
Intel Core i3-8300T,5827,A
AMD Ryzen 3 3300U,5803,A
Intel Core i7-4710MQ,5800,A
Intel Core i3-1115G4E,5776,A
AMD Opteron 4274 HE,5776,A
Intel Xeon E5-2450L,5769,A
Intel Core i7-4720HQ,5762,A
Intel Xeon X5650,5761,A
SM8350,5761,A
Intel Core i7-3820QM,5755,A
Intel Xeon Bronze 3106,5754,A
Intel Core i7-3820,5754,A
Intel Core i7-4770T,5748,A
MT8195AV/ZA,5735,A
Snapdragon 8cx Gen 2 @ 3.1,5734,A
Intel Xeon E3-1220 v6,5729,A
"Qualcomm Technologies, Inc SM8250_AC",5724,A
Intel Core i5-7440EQ,5711,A
Intel Core i7-3740QM,5708,A
Intel Xeon E3-1220 v5,5707,A
MT6893Z_D/CZA,5701,A
Intel Core i7-3920XM,5700,A
MT6891,5688,A
Intel Xeon E3-1205 v6,5682,A
Intel Core i7-3940XM,5671,A
MT6883Z/CZA,5665,A
Intel Core i5-6600T,5655,A
Intel Core i5-6500,5655,A
Intel Core i7-3720QM,5651,A
AMD Opteron 6238,5625,A
Intel Core i5-4690K,5623,A
Intel Core i7-4722HQ,5620,A
Intel Core i7-2700K,5604,A
Intel Core i7-4750HQ,5599,A
"Qualcomm Technologies, Inc SM8350",5596,A
Intel Core i5-5675R,5589,A
Intel Core i7-3770T,5573,A
Intel Core i5-4690,5572,A
AMD Opteron 6376,5572,A
ARM Neoverse-N1 8 Core 0 MHz,5561,A
Intel Core i7-4700HQ,5560,A
Intel Core i5-8365UE,5555,A
Intel Core i5-5675C,5548,A
Intel Core i5-4670K,5547,A
Intel Core i5-7440HQ,5526,A
Intel Xeon E5-2643,5523,A
Intel Xeon E3-1226 v3,5520,A
Intel Core i7-4710HQ,5518,A
Intel Xeon E3-1280,5510,A
AMD Ryzen 3 2300U,5507,A
vendor Kirin820,5502,A
Intel Core i7-4860EQ,5500,A
Intel Core i7-2600K,5500,A
Intel Core i5-7400,5499,A
Intel Core i7-3615QE,5459,A
Intel Core i5-4670,5440,A
Intel Core i5-760S,5440,A
ARM Cortex-A72 16 Core 0 MHz,5435,A
MT6893Z_A/CZA,5429,A
Intel Core i7-4785T,5427,A
Intel Xeon E3-1268L v3,5427,A
Intel Core i3-9100T,5419,A
Intel Core i5-6402P,5414,A
AMD FX-8320 Eight-Core,5409,A
Intel Xeon E3-1240,5398,A
Intel Xeon E3-1270,5386,A
Intel Core i5-4690S,5380,A
Intel Xeon E3-1275,5372,A
Intel Core i5-6440EQ,5368,A
Intel Xeon E3-1245,5366,A
"Qualcomm Technologies, Inc SM8250",5366,A
Intel Core i7-4702HQ,5361,A
Intel Pentium Gold 7505,5360,A
Intel Xeon E5-2609 v4,5351,B
Intel Core i5-4590,5344,B
Intel Core i7-2600,5344,B
Intel Core i5-7500T,5319,B
Intel Core i7-4700MQ,5319,B
Intel Xeon E5-2630L,5305,B
Intel Xeon E3-1240L v3,5304,B
"Qualcomm Technologies, Inc KONA",5302,B
Intel Xeon E3-1505L v5,5301,B
Intel Core i3-8100T,5291,B
AMD Opteron 6274,5286,B
Intel Xeon X5687,5282,B
Intel Xeon E5-2620,5280,B
vendor Kirin9000,5276,B
Intel Xeon E5-2430L,5273,B
Intel Core i7-4712MQ,5273,B
Intel Xeon E3-1225 v3,5264,B
AMD Ryzen Embedded V1500B Quad-core,5257,B
AMD Opteron 6328,5246,B
Intel Xeon E5-1607 v4,5245,B
Intel Core i7-6822EQ,5241,B
AMD Opteron 6272,5240,B
AMD FX-8370E Eight-Core,5235,B
Intel Core i5-4670R,5233,B
Intel Core i7-3615QM,5228,B
"lisa based Qualcomm Technologies, Inc. SM7325",5227,B
AMD FX-8300 Eight-Core,5223,B
AMD Ryzen 5 3500C,5214,B
"Vili based on Qualcomm Technologies, Inc SM8350",5213,B
Intel Core i5-4570,5199,B
Microsoft SQ2,5199,B
"Qualcomm Technologies, Inc SDM778G",5186,B
Intel Core i5-6400,5163,B
Intel Core i7-4712HQ,5161,B
Intel Xeon E5649,5160,B
AMD FX-8150 Eight-Core,5158,B
Intel Xeon E3-1220 v3,5154,B
vendor Kirin980,5150,B
Intel Xeon E5-2420,5149,B
Qualcomm Snapdragon 7325,5148,B
AMD FX-8310 Eight-Core,5145,B
Apple A13 Bionic,5145,B
Intel Core i7-3630QM,5131,B
Intel Core i3-1005G1,5128,B
Intel Core i5-6440HQ,5128,B
Intel Xeon X5672,5117,B
Intel Xeon X5677,5112,B
Intel Core i5-7300HQ,5104,B
Intel Core i7-3610QM,5100,B
Intel Core i7-4702MQ,5095,B
Intel Core i5-4590S,5095,B
"Star based on Qualcomm Technologies, Inc SM8350",5087,B
Hisilicon Kirin9000,5083,B
Intel Xeon W-2102,5077,B
Intel Core i5-5575R,5070,B
"Venus based on Qualcomm Technologies, Inc SM8350",5069,B
06/8c,5040,B
Intel Core i7-4765T,5036,B
"Haydn based on Qualcomm Technologies, Inc SM8350",5035,B
Intel Core i5-4670K CPT,5034,B
Intel Core i7-8665UE,5017,B
Intel Core i7-10510Y,5016,B
Intel Xeon E3-1235L v5,5013,B
Intel Xeon E3-1230,5006,B
Intel Xeon E3-1290,4988,B
AMD FX-8320E Eight-Core,4972,B
Intel Xeon E5645,4955,B
Intel Xeon E5-1607 v3,4950,B
Samsung Exynos 2100,4949,B
Intel Core i7-4700EQ,4941,B
Intel Core i5-3570K,4936,B
Intel Core i7-3612QE,4929,B
Intel Core i5-4670S,4919,B
Intel Core i5-4570S,4914,B
Intel Core i5-3570,4910,B
ARM Cortex-A72 4 Core 0 MHz,4907,B
AMD FX-8140 Eight-Core,4860,B
AMD Opteron 6366 HE,4858,B
Intel Core i3-7320,4856,B
"Samsung Technologies, Inc Exynos E1080",4846,B
Intel Core i5-6500T,4845,B
Intel Core i5-10210Y,4836,B
Intel Core i5-7442EQ,4834,B
Intel Core i5-4460,4834,B
MT6877V/TZA,4824,B
Intel Core i3-7350K,4819,B
Intel Xeon E5-1603 v4,4812,B
Intel Xeon Bronze 3204,4796,B
Intel Xeon D-1518,4784,B
Intel Core i5-3550,4783,B
Intel Core i5-6500TE,4776,B
Intel Core i7-3610QE,4767,B
Intel Xeon E3-1225 V2,4766,B
Intel Xeon E3-1230L v3,4764,B
ARM Neoverse-N1 6 Core 0 MHz,4756,B
AMD Opteron 6220,4753,B
Intel Pentium Silver N6005,4752,B
Intel Pentium 6805,4745,B
Intel Core i5-4470S,4742,B
vendor Kirin9000E,4728,B
Intel Xeon E3-1235,4725,B
Intel Core i5-4440,4718,B
Intel Xeon E3-1265L V2,4711,B
Intel Core i5-7400T,4710,B
Apple A12 Bionic,4707,B
Intel Core i3-7300,4703,B
Intel Core i5-6300HQ,4701,B
Intel Xeon E5-2603 v4,4695,B
Intel Xeon E3-1220 V2,4691,B
Intel Atom C3758,4683,B
Intel Xeon E5-1410,4677,B
AMD Opteron 4284,4665,B
Intel Core i5-4690T,4660,B
Intel Core i5-3470,4657,B
Intel Core i5-4430,4646,B
AMD Athlon Silver PRO 3125GE,4633,B
Intel Core i7-3632QM,4628,B
Intel Celeron N5095A,4627,B
Intel Core i5-3570S,4620,B
Intel Core i7-2860QM,4607,B
Intel Core i7-3612QM,4603,B
Qualcomm Snapdragon 8350,4599,B
Intel Core i5-6442EQ,4598,B
"Qualcomm Technologies, Inc SM6375",4597,B
"Mars based on Qualcomm Technologies, Inc SM8350",4592,B
Intel Xeon L5640,4591,B
AMD Ryzen Embedded V1500B,4588,B
Intel Xeon Bronze 3104,4585,B
AMD FX-8120 Eight-Core,4578,B
Intel Core i7-3635QM,4575,B
AMD Athlon 240GE,4551,B
Intel Xeon X5667,4551,B
MT6893,4551,B
AMD Athlon Silver 3050GE,4545,B
Microsoft ARM SQ1,4545,B
"Renoir based on Qualcomm Technologies, Inc SM7350",4543,B
Intel Core i5-3550S,4537,B
Intel Core i5-4570R,4527,B
Intel Core i7-2600S,4524,B
AMD Opteron 4280,4504,B
Intel Core i5-4460S,4503,B
Intel Core i3-9100TE,4501,B
Intel Core i5-3450,4497,B
Intel Pentium Gold G6605,4493,B
AMD Athlon 3000G,4480,B
AMD Athlon PRO 300GE,4475,B
AMD FX-6350 Six-Core,4463,B
AMD FX-6330 Six-Core,4455,B
Intel Xeon X5647,4455,B
AMD Athlon 220GE,4450,B
Intel Xeon E5-1603 v3,4448,B
MT6877T,4442,B
Intel Xeon E5-2609 v3,4423,B
Intel Core i7-2960XM,4423,B
Intel Xeon L5639,4419,B
MT6889Z/CZA,4416,B
vendor Kirin810,4409,B
Intel Pentium Gold G6600,4396,B
MT6875,4393,B
Intel Core i3-6300,4386,B
AMD Opteron 4386,4378,B
Intel Pentium Gold G6505,4378,B
Intel Core i3-8121U,4376,B
Intel Core i3-6320,4372,B
AMD Athlon 300GE,4366,B
Intel Core i5-4670T,4361,B
AMD FX-6130 Six-Core,4353,B
Intel Core i7-2760QM,4353,B
Intel Core i5-3470S,4353,B
Intel Core i7-2820QM,4347,B
Intel Core i7-2920XM,4344,B
Intel Core i3-7100,4342,B
Hisilicon Kirin990,4328,B
Intel Core i5-6400T,4302,B
Intel Core i3-8109U,4301,B
Intel Pentium Gold G6405,4285,B
MT6877V/ZA,4285,B
Intel Atom C3958,4281,B
Intel Core i5-4440S,4277,B
Intel Core i5-3450S,4264,B
Intel Xeon E5-1607 v2,4259,B
Intel Core i7-4770TE,4257,B
Intel Core i7-7567U,4256,B
Intel Core i5-6350HQ,4255,B
AMD Ryzen Embedded R1606G,4253,B
"Qualcomm Technologies, Inc SM8150",4248,B
AMD Athlon 320GE,4237,B
Intel Core i5-3350P,4237,B
Intel Xeon E5-2648L,4235,B
Apple A11 Bionic,4231,B
Intel Core i3-8140U,4227,B
Hisilicon Kirin980,4224,B
"Qualcomm Technologies, Inc SM8150P",4224,B
AMD Ryzen 3 PRO 2100GE,4187,B
Intel Core i3-6100,4177,B
Intel Core i5-3475S,4177,B
Intel Pentium J6426,4173,B
Intel Core i3-6098P,4170,B
Intel Core i5-4430S,4168,B
Intel Core i5-3570T,4168,B
Intel Core i5-3340,4165,B
Hisilicon Kirin985,4162,B
Intel Pentium Gold G5600F,4160,B
Intel Core i3-7300T,4159,B
Intel Celeron N5105,4158,B
AMD FX-6300 Six-Core,4155,B
Intel Atom x6425E,4153,B
Intel Core i5-7287U,4149,B
Intel Pentium Gold G6500,4147,B
AMD Athlon PRO 200GE,4139,B
AMD Athlon 200GE,4135,B
AMD Opteron 3380,4134,B
Intel Core i3-8145UE,4133,B
Intel Pentium Gold G6400,4130,B
Intel Core i5-2550K,4123,B
Intel Core i7-2720QM,4114,B
Intel Core i7-7660U,4105,B
Intel Pentium Gold G5620,4102,B
Intel Core i5-3340S,4102,B
Intel Core i5-2500,4101,B
Intel Core i5-2500K,4097,B
Intel Core i5-3330,4090,B
Intel Celeron J6413,4075,B
AMD Opteron 6234,4072,B
Intel Atom x6413E,4070,B
MT6833P,4051,B
Intel Core i5-7360U,4050,B
Intel Core i7-2710QE,4044,B
Intel Xeon E3-1260L,4041,B
Intel Core i3-6300T,4040,B
AMD Athlon Gold 3150U,4025,B
Intel Xeon E5640,4018,B
Intel Celeron N5095,4010,B
AMD Opteron 6212,4007,B
Intel Core i3-10110U,4005,B
Intel Pentium Gold G6500T,4005,B
AMD FX-6200 Six-Core,4001,B
AMD Ryzen 3 3250U,3988,B
Intel Core i5-4590T,3982,B
AMD Athlon 300U,3978,B
Intel Core i5-2450P,3974,B
AMD Opteron 3365,3973,B
AMD Ryzen Embedded R1505G,3966,B
AMD Opteron 4334,3949,B
MT6781,3937,B
Intel Core i7-985,3928,B
Intel Core i5-7267U,3925,B
Intel Core i5-6287U,3925,B
Intel Core i3-7101TE,3911,B
AMD Opteron 4332 HE,3906,B
ARM Cortex-A72 8 Core 0 MHz,3906,B
Intel Celeron J6412,3904,B
Intel Core i5-7260U,3895,B
AMD Ryzen 3 3200U,3885,B
AMD PRO A12-9800,3878,B
AMD A8-7500,3878,B
AMD FX-6120 Six-Core,3863,B
Intel Core i3-1000NG4,3862,B
Intel Xeon E3-1220,3855,B
Intel Core i7-6660U,3851,B
AMD PRO A12-8870,3848,B
06/8e,3848,B
AMD FX-8100 Eight-Core,3847,B
Intel Core i7-2840QM,3842,B
Intel Core i5-2400,3840,B
Intel Core i3-8145U,3837,B
Intel Xeon E3-1225,3817,B
Intel Core i3-1115GRE,3816,B
Intel Core i7-6567U,3812,B
Intel Core i5-3330S,3810,B
Intel Core i3-4370,3807,B
ZHAOXIN KaiXian KX-U6780A,3802,B
Intel Core i7-7560U,3801,B
MT8789V/CT,3800,B
Intel Core i5-2380P,3797,B
Intel Core i3-7100T,3787,B
AMD Athlon X4 845,3784,B
Intel Pentium G4620,3777,B
Intel Pentium Gold G5500,3770,B
Intel Pentium Gold G5600,3769,B
Intel Core i7-2675QM,3766,B
Intel Pentium N6415,3760,B
Intel Core i5-3335S,3754,B
AMD PRO A10-8850B,3752,B
Intel Xeon E5-2603 v3,3752,B
MediaTek MT6873,3752,B
Intel Core i5-7300U,3750,B
Intel Pentium Gold G6405T,3746,B
Intel Xeon E5-1607,3730,B
"Qualcomm Technologies, Inc SM8150_Plus",3730,B
AMD Phenom II X6 1100T,3729,B
Intel Xeon E5630,3726,B
Intel Core i7-2670QM,3726,B
Intel Pentium Gold G5400,3723,B
AMD Opteron 3280,3720,B
AMD Opteron 6174,3697,B
Intel Core i3-4360,3688,B
AMD Ryzen 3 2200U,3686,B
AMD FX-6100 Six-Core,3679,B
AMD Athlon X4 880K,3676,B
Intel Core i7-7600U,3667,B
AMD A9-9820,3662,B
Intel Core i7-7500U,3658,B
AMD Phenom II X6 1090T,3655,B
Snapdragon 8cx,3655,B
Intel Core i3-8130U,3648,B
AMD PRO A10-9700,3644,B
Intel Pentium Gold G5420,3641,B
Intel Core i5-2320,3632,B
Intel Xeon E5620,3630,B
DG1301SML87HY,3624,B
Intel Core i3-6100T,3617,B
AMD Athlon X4 950,3611,B
Intel Pentium Gold G6400T,3610,B
Intel Pentium G4600,3605,B
Intel Core i5-2310,3603,B
Intel Pentium Gold G5600T,3601,B
Intel Core i5-4460T,3595,B
Intel Xeon E3-1265L,3589,B
Intel Core i7-6650U,3585,B
MT6853V/ZA,3577,B
AMD A8-7680,3571,B
Intel Core i3-4170,3569,B
AMD Opteron 6176 SE,3564,B
Intel Core i7-2630QM,3555,B
AMD A10-9700,3546,B
Intel Core i3-4330,3539,B
AMD A10-8850,3525,B
Intel Pentium Silver J5040,3518,B
Intel Xeon E5-2418L,3518,B
Intel Xeon E5-2609 v2,3516,B
Intel Pentium G4560,3513,B
Intel Core i7-6600U,3508,B
