canonical_name,cpu_name_normal,manufacturer,benchmark_score,cores,tdp,socket,category
Intel Core i7-3930K,i7 3930K,Intel,8244,6,130.0,LGA2011,Desktop
Intel Xeon E5-2470,Xeon E5 2470,Intel,8240,8,95.0,LGA 1356,Server
Intel Core i3-10100E,i3 10100E,Intel,8229,4,65.0,FCLGA1200,"Desktop, Mobile/Embedded"
Intel Core i5-8600T,i5 8600T,Intel,8227,6,35.0,FCLGA1151-2,Desktop
Intel Core i7-8557U,i7 8557U,Intel,8225,4,15.0,FCBGA1528,Laptop
AMD Ryzen Embedded V1756B,Ryzen Embedded V1756B,AMD,8215,4,45.0,FP5,"Desktop, Mobile/Embedded"
Intel Xeon E3-1535M v6,Xeon E3 1535M v6,Intel,8184,4,35.0,FCBGA1440,"Laptop, Server"
Intel Xeon E-2276ME,Xeon E 2276ME,Intel,8167,6,45.0,FCBGA1440,"Server, Mobile/Embedded"
Intel Core i3-10305T,i3 10305T,Intel,8136,4,35.0,FCLGA1200,Desktop
AMD Ryzen 5 2400GE,Ryzen 5 2400GE,AMD,8134,4,35.0,AM4,Desktop
Intel Core i5-8259U,i5 8259U,Intel,8131,4,28.0,FCBGA1528,Laptop
Intel Xeon E5-1650,Xeon E5 1650,Intel,8113,6,130.0,LGA2011,Server
Intel Xeon E5-2660,Xeon E5 2660,Intel,8104,8,95.0,LGA2011,Server
Intel Core i7-6700,i7 6700,Intel,8078,4,65.0,LGA 1151,Desktop
Intel Xeon E3-1245 v5,Xeon E3 1245 v5,Intel,8073,4,80.0,FCLGA1151,Server
Intel Core i7-4790K,i7 4790K,Intel,8061,4,88.0,LGA1150,Desktop
Intel Core i5-8269U,i5 8269U,Intel,8055,4,28.0,FCBGA1528,"Laptop, Mobile/Embedded"
Intel Core i5-8400H,i5 8400H,Intel,8037,4,45.0,FCBGA1440,Laptop
AMD Opteron 6348,Opteron 6348,AMD,8030,6,115.0,unknown,Server
Intel Core i5-8279U,i5 8279U,Intel,8028,4,28.0,FCBGA1528,Laptop
Intel Xeon E3-1285L v4,Xeon E3 1285L v4,Intel,8022,4,65.0,LGA1150,Server
Intel Xeon E3-1585L v5,Xeon E3 1585L v5,Intel,8021,4,45.0,FCBGA1440,Server
Intel Core i3-10300T,i3 10300T,Intel,7997,4,35.0,FCLGA1200,Desktop
AMD Ryzen 5 3550H,Ryzen 5 3550H,AMD,7994,4,35.0,FP5,Laptop
Intel Core i7-8709G,i7 8709G,Intel,7990,4,100.0,BGA2270,Laptop
Intel Core i7-8705G,i7 8705G,Intel,7947,4,65.0,BGA2270,Laptop
Intel Xeon E3-1515M v5,Xeon E3 1515M v5,Intel,7938,4,45.0,FCBGA1440,Server
Intel Xeon E3-1545M v5,Xeon E3 1545M v5,Intel,7930,4,45.0,FCBGA1440,"Laptop, Server"
Intel Xeon E5-2620 v3,Xeon E5 2620 v3,Intel,7906,6,85.0,LGA2011-v3,Server
Intel Xeon E3-1230 v5,Xeon E3 1230 v5,Intel,7880,4,80.0,FCLGA1151,Server
Intel Core i5-8260U,i5 8260U,Intel,7854,4,15.0,FCBGA1528,Laptop
Intel Core i3-10105T,i3 10105T,Intel,7850,4,35.0,FCLGA1200,Desktop
AMD Ryzen 5 3580U,Ryzen 5 3580U,AMD,7846,4,15.0,FP5,Laptop
AMD Ryzen 5 2600H,Ryzen 5 2600H,AMD,7836,4,45.0,FP5,Laptop
Intel Core i5-9400T,i5 9400T,Intel,7819,6,35.0,FCLGA1151-2,Desktop
Intel Core i7-5775C,i7 5775C,Intel,7801,4,65.0,FCLGA1150,Desktop
Intel Core i5-9300H,i5 9300H,Intel,7793,4,45.0,FCBGA1440,Laptop
AMD Ryzen 5 1400,Ryzen 5 1400,AMD,7783,4,65.0,AM4,Desktop
Intel Xeon E3-1260L v5,Xeon E3 1260L v5,Intel,7757,4,45.0,FCLGA1151,Server
Intel Xeon E5-2640 v2,Xeon E5 2640 v2,Intel,7741,8,95.0,LGA 2011,Server
Intel Core i5-1035G1,i5 1035G1,Intel,7737,4,15.0,FCBGA1526,Laptop
Intel Xeon D-2123IT,Xeon D 2123IT,Intel,7731,4,60.0,FCBGA2518,Server
AMD Ryzen 3 PRO 1300,Ryzen 3 PRO 1300,AMD,7717,4,65.0,AM4,Desktop
Intel Core i7-5775R,i7 5775R,Intel,7714,4,65.0,LGA1150,Desktop
AMD Athlon Gold PRO 3150G,Athlon Gold PRO 3150G,AMD,7702,4,65.0,AM4,Desktop
Intel Core i5-8500T,i5 8500T,Intel,7699,6,35.0,FCLGA1151-2,Desktop
Intel Core i7-5950HQ,i7 5950HQ,Intel,7696,4,47.0,FCBGA1364,Laptop
Intel Core i3-9350K,i3 9350K,Intel,7694,4,91.0,FCLGA1151,Desktop
Intel Core i7-7820HK,i7 7820HK,Intel,7682,4,45.0,FCBGA1440,Laptop
AMD Ryzen 5 3550U,Ryzen 5 3550U,AMD,7681,4,15.0,unknown,Unknown
Intel Core i5-8257U,i5 8257U,Intel,7680,4,15.0,FCBGA1528,Laptop
Intel Core i5-9300HF,i5 9300HF,Intel,7678,4,45.0,FCBGA1440,Laptop
Intel Xeon E3-1270L v4,Xeon E3 1270L v4,Intel,7662,4,45.0,LGA1150,Server
AMD Ryzen 7 2800H,Ryzen 7 2800H,AMD,7656,4,45.0,FP5,Laptop
AMD Ryzen 7 3780U,Ryzen 7 3780U,AMD,7651,4,15.0,FP5,Laptop
Intel Xeon E3-1575M v5,Xeon E3 1575M v5,Intel,7629,4,45.0,FCBGA1440,Server
Intel Xeon E3-1285 v4,Xeon E3 1285 v4,Intel,7614,4,95.0,FCLGA1150,Server
Intel Xeon E5-1630 v4,Xeon E5 1630 v4,Intel,7585,4,140.0,FCLGA2011-3,Server
Intel Xeon E5-2623 v4,Xeon E5 2623 v4,Intel,7582,4,85.0,FCLGA2011-3,Server
AMD Ryzen 3 4300U,Ryzen 3 4300U,AMD,7568,4,15.0,FP6,Laptop
AMD Ryzen 3 2300X,Ryzen 3 2300X,AMD,7566,4,65.0,AM4,Desktop
Intel Core i7-7700T,i7 7700T,Intel,7561,4,35.0,FCLGA1151,Desktop
Intel Xeon E-2224G,Xeon E 2224G,Intel,7545,4,71.0,FCLGA1151-2,Server
Intel Core i5-8300H,i5 8300H,Intel,7542,4,45.0,FCLGA1151-2,Laptop
AMD Ryzen 5 PRO 2400GE,Ryzen 5 PRO 2400GE,AMD,7530,4,35.0,AM4,Desktop
Intel Xeon E3-1535M v5,Xeon E3 1535M v5,Intel,7523,4,45.0,FCBGA1440,"Laptop, Server"
Intel Xeon E-2124G,Xeon E 2124G,Intel,7518,4,71.0,FCLGA1151-2,Server
Intel Xeon E5-2667,Xeon E5 2667,Intel,7501,6,130.0,LGA2011,Server
Intel Xeon E5-2637 v3,Xeon E5 2637 v3,Intel,7485,4,135.0,LGA2011-v3,Server
Intel Xeon E5-2650L v2,Xeon E5 2650L v2,Intel,7475,10,70.0,FCLGA2011,Server
Intel Xeon E5-2630 v2,Xeon E5 2630 v2,Intel,7470,6,80.0,FCLGA2011,Server
Intel Xeon E5-1630 v3,Xeon E5 1630 v3,Intel,7456,4,140.0,LGA2011-v3,Server
Intel Core i7-7820EQ,i7 7820EQ,Intel,7453,4,45.0,FCBGA1440,Laptop
Intel Core i7-7920HQ,i7 7920HQ,Intel,7449,4,45.0,FCBGA1440,Laptop
Intel Xeon D-1531,Xeon D 1531,Intel,7447,6,45.0,FCBGA1667,Server
Intel Core i5-8400T,i5 8400T,Intel,7447,6,35.0,FCLGA1151-2,Desktop
Intel Xeon E5-1620 v4,Xeon E5 1620 v4,Intel,7437,4,140.0,FCLGA2011-3,Server
Intel Xeon E3-1271 v3,Xeon E3 1271 v3,Intel,7432,4,80.0,FCLGA1150,Server
Intel Xeon E3-1286 v3,Xeon E3 1286 v3,Intel,7418,4,84.0,LGA1150,Server
Intel Xeon E5-2450,Xeon E5 2450,Intel,7410,8,95.0,LGA 1356,Server
Intel Xeon E3-1281 v3,Xeon E3 1281 v3,Intel,7406,4,82.0,LGA1150,Server
Intel Core i3-10100T,i3 10100T,Intel,7405,4,35.0,FCLGA1200,Laptop
Intel Core i7-6920HQ,i7 6920HQ,Intel,7378,4,45.0,FCBGA1440,Laptop
AMD Ryzen 7 PRO 2700U,Ryzen 7 PRO 2700U,AMD,7372,4,15.0,FP5,Laptop
Intel Xeon,Xeon,Intel,7363,6,,unknown,Unknown
Intel Core i3-9320,i3 9320,Intel,7358,4,62.0,FCLGA1151-2,Desktop
Intel Xeon D-1559,Xeon D 1559,Intel,7353,12,45.0,FCBGA1667,Server
Intel Xeon E3-1276 v3,Xeon E3 1276 v3,Intel,7345,4,84.0,FCLGA1150,Server
Intel Xeon E5-2650,Xeon E5 2650,Intel,7335,8,95.0,LGA2011,Server
Intel Core i3-9350KF,i3 9350KF,Intel,7318,4,91.0,FCLGA1151-2,Desktop
AMD Ryzen 3 3200GE,Ryzen 3 3200GE,AMD,7317,4,35.0,AM4,Desktop
AMD Ryzen 7 3700U,Ryzen 7 3700U,AMD,7317,4,15.0,FP5,Laptop
AMD Ryzen 7 PRO 3700U,Ryzen 7 PRO 3700U,AMD,7310,4,15.0,FP5,Laptop
Intel Core i3-9300,i3 9300,Intel,7279,4,62.0,FCLGA1151-2,Desktop
AMD Opteron 6281,Opteron 6281,AMD,7279,8,,Socket G34,Server
Intel Core i7-6700T,i7 6700T,Intel,7271,4,35.0,LGA 1151,Desktop
Intel Xeon E3-1280 v3,Xeon E3 1280 v3,Intel,7256,4,82.0,LGA1150,Server
Intel Xeon E3-1270 v3,Xeon E3 1270 v3,Intel,7245,4,80.0,LGA1150,Server
Intel Core i7-4790,i7 4790,Intel,7235,4,84.0,FCLGA1150,Desktop
Intel Xeon E5-4610 v3,Xeon E5 4610 v3,Intel,7229,10,105.0,FCLGA2011-3,Server
Intel Xeon E-2224,Xeon E 2224,Intel,7223,4,71.0,FCLGA1151-2,Server
Intel Xeon E3-1246 v3,Xeon E3 1246 v3,Intel,7218,4,84.0,FCLGA1150,Server
Intel Core i7-7820HQ,i7 7820HQ,Intel,7209,4,45.0,FCBGA1440,Laptop
Intel Xeon W3690,Xeon W3690,Intel,7208,6,130.0,LGA1366,Server
AMD Ryzen 3 3200G,Ryzen 3 3200G,AMD,7188,4,65.0,AM4,Desktop
Intel Xeon E5-2628L v2,Xeon E5 2628L v2,Intel,7181,8,70.0,LGA 2011,Server
Intel Xeon D-1537,Xeon D 1537,Intel,7176,8,35.0,FCBGA1667,Server
Intel Xeon D-1539,Xeon D 1539,Intel,7175,8,35.0,FCBGA1667,Server
Intel Core i7-6770HQ,i7 6770HQ,Intel,7145,4,45.0,FCBGA1440,Laptop
AMD Ryzen 7 3700C,Ryzen 7 3700C,AMD,7145,4,15.0,FP5,"Laptop, Mobile/Embedded"
Intel Xeon E3-1275 v3,Xeon E3 1275 v3,Intel,7143,4,95.0,LGA1150,Server
Intel Core i7-990X,i7 990X,Intel,7137,6,130.0,LGA1366,Desktop
Intel Core i7-4770K,i7 4770K,Intel,7129,4,84.0,LGA1150,Desktop
Intel Xeon D-1557,Xeon D 1557,Intel,7118,12,45.0,FCBGA1667,Server
AMD Ryzen 5 3500U,Ryzen 5 3500U,AMD,7102,4,15.0,FP5,Laptop
Intel Xeon X5679,Xeon X5679,Intel,7095,6,115.0,LGA1366,Server
AMD Athlon Gold PRO 3150GE,Athlon Gold PRO 3150GE,AMD,7093,4,35.0,AM4,Desktop
Intel Xeon E3-1505M v5,Xeon E3 1505M v5,Intel,7092,4,45.0,FCBGA1440,Server
Intel Xeon E3-1505M v6,Xeon E3 1505M v6,Intel,7080,4,45.0,unknown,Server
Intel Core i7-995X,i7 995X,Intel,7079,6,,unknown,Desktop
Intel Core i7-4771,i7 4771,Intel,7074,4,84.0,LGA1150,Desktop
Intel Core i5-8305G,i5 8305G,Intel,7073,4,65.0,BGA2270,Laptop
AMD Ryzen 3 PRO 3200GE,Ryzen 3 PRO 3200GE,AMD,7071,4,35.0,AM4,Laptop
Intel Xeon E3-1241 v3,Xeon E3 1241 v3,Intel,7070,4,80.0,LGA1150,Server
Intel Xeon E3-1240 v3,Xeon E3 1240 v3,Intel,7065,4,80.0,LGA1150,Server
Intel Core i7-10610U,i7 10610U,Intel,7062,4,15.0,FCBGA1528,Laptop
Intel Core i7-4940MX,i7 4940MX,Intel,7060,4,57.0,"FPGA946,FPGA947",Laptop
Intel Core i7-1060NG7,i7 1060NG7,Intel,7045,4,10.0,FCBGA1526,Laptop
AMD Ryzen 3 PRO 3200G,Ryzen 3 PRO 3200G,AMD,7037,4,65.0,AM4,Desktop
Intel Core i7-5850EQ,i7 5850EQ,Intel,7036,4,47.0,FCBGA1364,Laptop
Intel Core i7-4770,i7 4770,Intel,7030,4,84.0,LGA1150,Desktop
Intel Core i7-980,i7 980,Intel,7018,6,130.0,LGA1366,Desktop
Intel Xeon E5-4640,Xeon E5 4640,Intel,7012,8,95.0,LGA2011,Server
Intel Xeon E3-1245 v3,Xeon E3 1245 v3,Intel,7008,4,84.0,LGA1150,Server
AMD Athlon Gold 3150G,Athlon Gold 3150G,AMD,7002,4,65.0,AM4,Desktop
Intel Xeon E3-1231 v3,Xeon E3 1231 v3,Intel,6998,4,80.0,FCLGA1150,Server
Intel Xeon E5-1620 v3,Xeon E5 1620 v3,Intel,6991,4,140.0,LGA2011-v3,Server
Intel Xeon E3-1285 v3,Xeon E3 1285 v3,Intel,6987,4,84.0,LGA1150,Server
Intel Xeon E5-4607 v2,Xeon E5 4607 v2,Intel,6986,6,95.0,FCLGA2011,Server
Intel Xeon E-2124,Xeon E 2124,Intel,6977,4,71.0,FCLGA1151-2,Server
AMD Ryzen 5 PRO 3500U,Ryzen 5 PRO 3500U,AMD,6968,4,15.0,FP5,Laptop
Intel Core i7-7700HQ,i7 7700HQ,Intel,6957,4,45.0,FCBGA1440,Laptop
Intel Xeon E3-1265L v4,Xeon E3 1265L v4,Intel,6954,4,35.0,FCLGA1150,Server
Intel Core i7-4790S,i7 4790S,Intel,6954,4,65.0,LGA1150,Desktop
Intel Core i7-6820HQ,i7 6820HQ,Intel,6939,4,45.0,FCBGA1440,Laptop
Intel Xeon E5-2440 v2,Xeon E5 2440 v2,Intel,6927,8,95.0,LGA 1356,Server
AMD Ryzen 3 1300X,Ryzen 3 1300X,AMD,6925,4,65.0,AM4,Desktop
AMD Opteron 6287 SE,Opteron 6287 SE,AMD,6925,16,,G34,Server
Intel Core i7-6820EQ,i7 6820EQ,Intel,6924,4,45.0,FCBGA1440,Laptop
AMD Ryzen 5 PRO 2500U,Ryzen 5 PRO 2500U,AMD,6921,4,15.0,FP5,Laptop
Intel Xeon W3680,Xeon W3680,Intel,6917,6,130.0,LGA1366,Server
Intel Core i7-6820HK,i7 6820HK,Intel,6906,4,45.0,FCBGA1440,Laptop
Intel Xeon E5-2637 v4,Xeon E5 2637 v4,Intel,6897,4,135.0,FCLGA2011-3,Server
Intel Pentium Gold G7400,Pentium Gold G7400,Intel,6896,2,46.0,"LGA1700,BGA1700",Desktop
AMD Ryzen 7 2700U,Ryzen 7 2700U,AMD,6895,4,15.0,FP5,Laptop
Intel Core i5-7600K,i5 7600K,Intel,6869,4,91.0,FCLGA1151,Desktop
Intel Xeon E5-2623 v3,Xeon E5 2623 v3,Intel,6869,4,105.0,LGA2011-v3,Server
Intel Xeon X5690,Xeon X5690,Intel,6867,6,130.0,LGA1366,Server
Intel Core i7-5850HQ,i7 5850HQ,Intel,6866,4,47.0,FCBGA1364,Laptop
Intel Xeon E5-2430 v2,Xeon E5 2430 v2,Intel,6864,6,80.0,LGA 1356,Server
Intel Core i3-8350K,i3 8350K,Intel,6862,4,91.0,FCLGA1151-2,Desktop
Intel Xeon E3-1285L v3,Xeon E3 1285L v3,Intel,6848,4,65.0,LGA1150,Server
Intel Core i7-10510U,i7 10510U,Intel,6837,4,15.0,FCBGA1528,Laptop
Intel Xeon E5-4620,Xeon E5 4620,Intel,6830,8,95.0,LGA 2011,Server
AMD Ryzen 5 3450U,Ryzen 5 3450U,AMD,6824,4,15.0,FP5,Laptop
AMD Ryzen Embedded V1605B,Ryzen Embedded V1605B,AMD,6822,4,15.0,FP5,"Laptop, Mobile/Embedded"
Intel Core i7-4770S,i7 4770S,Intel,6819,4,65.0,LGA1150,Desktop
Intel Core i7-980X,i7 980X,Intel,6813,6,130.0,LGA1366,Desktop
Intel Xeon X5680,Xeon X5680,Intel,6811,6,130.0,LGA1366,Server
AMD Ryzen 3 2200G,Ryzen 3 2200G,AMD,6781,4,65.0,AM4,Desktop
Intel Core i7-4960HQ,i7 4960HQ,Intel,6779,4,47.0,FCBGA1364,Laptop
Intel Xeon E5-2448L v2,Xeon E5 2448L v2,Intel,6774,10,70.0,LGA 1356,Server
Intel Pentium Gold 8505,Pentium Gold 8505,Intel,6771,1,15.0,BGA1700,"Laptop, Mobile/Embedded"
AMD FX-9590 Eight-Core,FX 9590 Eight Core,Intel,6768,4,220.0,AM3+,Desktop
Intel Core i3-9100F,i3 9100F,Intel,6768,4,65.0,FCLGA1151-2,Desktop
Intel Core i7-4980HQ,i7 4980HQ,Intel,6767,4,47.0,FCBGA1364,Laptop
Intel Xeon E3-1230 v3,Xeon E3 1230 v3,Intel,6760,4,80.0,LGA1150,Server
Intel Core i7-4930MX,i7 4930MX,Intel,6753,4,57.0,FCPGA946,Laptop
Intel Core i7-6700TE,i7 6700TE,Intel,6734,4,35.0,LGA 1151,Desktop
AMD Ryzen 3 PRO 2200G,Ryzen 3 PRO 2200G,AMD,6703,4,65.0,AM4,Desktop
Intel Core i5-7640X,i5 7640X,Intel,6675,4,112.0,FCLGA2066,Desktop
Intel Core i5-10310U,i5 10310U,Intel,6658,4,15.0,FCBGA1528,Laptop
AMD Opteron 6380,Opteron 6380,AMD,6645,8,115.0,G34,Server
AMD Ryzen Embedded R2314,Ryzen Embedded R2314,AMD,6643,4,,unknown,Mobile/Embedded
Intel Core i3-9100,i3 9100,Intel,6625,4,65.0,FCLGA1151-2,Desktop
Intel Xeon E3-1275 V2,Xeon E3 1275 V2,Intel,6613,4,77.0,LGA1155,Server
Intel Xeon E5-2630L v2,Xeon E5 2630L v2,Intel,6610,6,60.0,LGA 2011,Server
Intel Core i7-1180G7,i7 1180G7,Intel,6607,4,15.0,FCBGA1598,Laptop
Intel Core i5-7600,i5 7600,Intel,6598,4,65.0,FCLGA1151,Desktop
MT6891Z/CZA,MT6891Z/CZA,Unknown,6596,8,,unknown,Mobile/Embedded
Intel Xeon Platinum 8151,Xeon Platinum 8151,Intel,6591,2,,unknown,Server
Intel Xeon E5-1428L v2,Xeon E5 1428L v2,Intel,6566,6,60.0,FCLGA1356,Server
AMD Ryzen 5 2500U,Ryzen 5 2500U,AMD,6555,4,15.0,FP5,Laptop
"Qualcomm Technologies, Inc SA8195P","Qualcomm Technologies, Inc SA8195P",Unknown,6554,8,,unknown,Mobile/Embedded
Intel Core i7-6700HQ,i7 6700HQ,Intel,6544,4,45.0,FCBGA1440,Laptop
AMD Ryzen 3 2200GE,Ryzen 3 2200GE,AMD,6537,4,35.0,AM4,Desktop
Intel Xeon E5-1620 v2,Xeon E5 1620 v2,Intel,6535,4,130.0,FCLGA2011,Server
Intel Xeon W3670,Xeon W3670,Intel,6534,6,130.0,LGA1366,Server
"Odin based on Qualcomm Technologies, Inc SM8350","Odin based on Qualcomm Technologies, Inc SM8350",Unknown,6533,8,,unknown,Mobile/Embedded
Intel Xeon E3-1280 V2,Xeon E3 1280 V2,Intel,6511,4,69.0,LGA1155,Server
Intel Core i7-4820K,i7 4820K,Intel,6501,4,130.0,FCLGA2011,Desktop
Intel Core i7-970,i7 970,Intel,6499,6,130.0,LGA1366,Desktop
Intel Core i7-3770K,i7 3770K,Intel,6462,4,77.0,LGA1155,Desktop
Intel Xeon E3-1290 V2,Xeon E3 1290 V2,Intel,6461,4,87.0,LGA1155,Server
Intel Xeon E5-4610,Xeon E5 4610,Intel,6460,6,95.0,FCLGA2011,Server
Intel Xeon E3-1286L v3,Xeon E3 1286L v3,Intel,6450,4,65.0,LGA1150,Server
Intel Xeon E3-1270 V2,Xeon E3 1270 V2,Intel,6431,4,69.0,LGA1155,Server
Intel Core i7-4770R,i7 4770R,Intel,6429,4,65.0,FCBGA1364,Desktop
Intel Xeon Silver 4112,Xeon Silver 4112,Intel,6420,4,85.0,FCLGA3647,Server
MT6893Z_C/CZA,MT6893Z C/CZA,Unknown,6418,8,,unknown,Mobile/Embedded
Intel Xeon E5-2608L v3,Xeon E5 2608L v3,Intel,6415,6,52.0,LGA2011-v3,Server
Intel Core i5-10210U,i5 10210U,Intel,6401,4,15.0,FCBGA1528,Laptop
Intel Core i7-3770,i7 3770,Intel,6397,4,77.0,LGA1155,Desktop
Intel Core i7-4870HQ,i7 4870HQ,Intel,6387,4,47.0,FCBGA1364,Laptop
AMD Opteron 6282 SE,Opteron 6282 SE,AMD,6385,16,140.0,unknown,Server
"Qualcomm Technologies, Inc SM8350AC","Qualcomm Technologies, Inc SM8350AC",Unknown,6385,8,,unknown,Mobile/Embedded
Intel Core i7-8665U,i7 8665U,Intel,6383,4,15.0,FCBGA1528,Laptop
Intel Xeon X5675,Xeon X5675,Intel,6378,6,95.0,LGA1366,Server
Intel Xeon E5-2420 v2,Xeon E5 2420 v2,Intel,6362,6,80.0,FCLGA1356,Server
Intel Core i7-8565U,i7 8565U,Intel,6358,4,15.0,FCBGA1356,Laptop
Intel Core i7-8650U,i7 8650U,Intel,6358,4,15.0,FC-BGA1356,Laptop
AMD Ryzen 3 PRO 1200,Ryzen 3 PRO 1200,AMD,6347,4,65.0,AM4,Desktop
Intel Xeon E-2254ML,Xeon E 2254ML,Intel,6333,4,25.0,FCBGA1440,Server
Intel Xeon E5-2640,Xeon E5 2640,Intel,6321,6,95.0,LGA2011,Server
Intel Xeon E3-1245 V2,Xeon E3 1245 V2,Intel,6316,4,77.0,LGA1155,Server
Intel Xeon E3-1225 v6,Xeon E3 1225 v6,Intel,6312,4,73.0,FCLGA1151,Server
Intel Core i5-6600K,i5 6600K,Intel,6307,4,91.0,FCLGA1151,Desktop
AMD Ryzen 3 1200,Ryzen 3 1200,AMD,6304,4,65.0,AM4,Desktop
Intel Xeon E3-1240 V2,Xeon E3 1240 V2,Intel,6301,4,69.0,LGA1155,Server
Intel Core i7-4760HQ,i7 4760HQ,Intel,6300,4,47.0,FCBGA1364,Laptop
Intel Core i7-4850HQ,i7 4850HQ,Intel,6299,4,47.0,FCBGA1364,Laptop
Intel Xeon E5-4617,Xeon E5 4617,Intel,6298,6,130.0,LGA 2011,Server
Intel Core i7-4790T,i7 4790T,Intel,6291,4,45.0,LGA1150,Desktop
Intel Core i5-8350U,i5 8350U,Intel,6284,4,15.0,FC-BGA1356,Laptop
Intel Core i3-1115G4,i3 1115G4,Intel,6273,2,,FCBGA1449,Laptop
Intel Core i7-4910MQ,i7 4910MQ,Intel,6265,4,47.0,FCPGA946,Laptop
Intel Xeon E5-2620 v2,Xeon E5 2620 v2,Intel,6246,6,80.0,FCLGA2011,Server
AMD Opteron 6276,Opteron 6276,AMD,6245,8,115.0,Socket G34,Server
Intel Xeon E5-2637 v2,Xeon E5 2637 v2,Intel,6244,4,130.0,LGA 2011,Server
Intel Core i5-8365U,i5 8365U,Intel,6239,4,15.0,FCBGA1528,Laptop
Intel Xeon D-1622,Xeon D 1622,Intel,6205,4,40.0,FCBGA1667,Server
Intel Xeon W-2104,Xeon W 2104,Intel,6202,4,120.0,FCLGA2066,Server
Intel Xeon E3-1230 V2,Xeon E3 1230 V2,Intel,6192,4,69.0,LGA1155,Server
Intel Core i7-8565UC,i7 8565UC,Intel,6187,4,15.0,FCBGA1528,Laptop
Intel Core i5-1030NG7,i5 1030NG7,Intel,6180,4,10.0,BGA1526,Laptop
Intel Core i7-3770S,i7 3770S,Intel,6178,4,65.0,LGA1155,Desktop
Intel Xeon E3-1240L v5,Xeon E3 1240L v5,Intel,6173,4,25.0,FCLGA1151,Server
Intel Core i3-8100,i3 8100,Intel,6163,4,65.0,FCLGA1151-2,Desktop
Intel Core i3-9300T,i3 9300T,Intel,6162,4,35.0,FCLGA1151-2,Desktop
SM7325,SM7325,Unknown,6145,8,,unknown,Mobile/Embedded
AMD Ryzen 3 PRO 3300U,Ryzen 3 PRO 3300U,AMD,6144,4,15.0,FP5,Laptop
Intel Core i7-4860HQ,i7 4860HQ,Intel,6138,4,47.0,FCBGA1364,Laptop
Intel Core i3-8300,i3 8300,Intel,6136,4,62.0,FCLGA1151-2,Desktop
Intel Xeon E5-2630,Xeon E5 2630,Intel,6131,6,95.0,LGA2011,Server
AMD FX-8370 Eight-Core,FX 8370 Eight Core,Intel,6128,4,125.0,AM3+,Desktop
Intel Core i7-4770HQ,i7 4770HQ,Intel,6125,4,47.0,FCBGA1364,Laptop
Intel Core i5-6600,i5 6600,Intel,6107,4,65.0,LGA 1151,Desktop
Intel Xeon X5660,Xeon X5660,Intel,6107,6,95.0,LGA1366,Server
Intel Core i5-8265U,i5 8265U,Intel,6103,4,15.0,FCBGA1528,Laptop
Intel Xeon X5670,Xeon X5670,Intel,6090,6,95.0,LGA1366,Server
Intel Core i7-5675C,i7 5675C,Intel,6089,4,65.0,LGA1150,Desktop
Intel Xeon E3-1505L v6,Xeon E3 1505L v6,Intel,6088,4,25.0,FCBGA1440,"Laptop, Server"
Intel Core i3-8100B,i3 8100B,Intel,6081,4,65.0,FCBGA1440,Laptop
Intel Xeon E3-1268L v5,Xeon E3 1268L v5,Intel,6079,4,35.0,FCLGA1151,"Laptop, Server"
Intel Core i5-7600T,i5 7600T,Intel,6073,4,35.0,FCLGA1151,Desktop
Intel Xeon E5-2658,Xeon E5 2658,Intel,6073,8,95.0,LGA2011,Server
AMD Opteron 6344,Opteron 6344,AMD,6069,6,115.0,unknown,Server
Intel Core i5-7500,i5 7500,Intel,6064,4,65.0,LGA1151,Desktop
Intel Xeon E-2104G,Xeon E 2104G,Intel,6057,4,65.0,FCLGA1151-2,Server
Intel Core i7-4900MQ,i7 4900MQ,Intel,6051,4,47.0,FCPGA946,Laptop
AMD EPYC 3101 4-Core,EPYC 3101 4 Core,Intel,6050,4,,unknown,Unknown
Intel Xeon E3-1275L v3,Xeon E3 1275L v3,Intel,6035,4,45.0,LGA1150,Server
Intel Core i7-4810MQ,i7 4810MQ,Intel,6034,4,47.0,FCPGA946,Laptop
Intel Core i7-5700HQ,i7 5700HQ,Intel,6023,4,47.0,FCBGA1364,Laptop
vendor Kirin990,vendor Kirin990,Unknown,5998,8,,unknown,Mobile/Embedded
Intel Core i5-8265UC,i5 8265UC,Intel,5988,4,,FCBGA1528,Laptop
Intel Xeon E3-1265L v3,Xeon E3 1265L v3,Intel,5987,4,45.0,FCLGA1150,Server
AMD FX-9370 Eight-Core,FX 9370 Eight Core,Intel,5985,4,220.0,AM3+,Desktop
AMD Ryzen 3 PRO 2300U,Ryzen 3 PRO 2300U,AMD,5982,4,15.0,FP5,Laptop
AMD FX-8350 Eight-Core,FX 8350 Eight Core,Intel,5969,4,125.0,AM3+,Desktop
Intel Core i7-3840QM,i7 3840QM,Intel,5966,4,45.0,rPGA988B,Laptop
Intel Core i7-8550U,i7 8550U,Intel,5964,4,15.0,FC-BGA1356,Laptop
Intel Xeon E3-1225 v5,Xeon E3 1225 v5,Intel,5961,4,80.0,FCLGA1151,Server
Intel Core i5-8250U,i5 8250U,Intel,5941,4,15.0,FC-BGA1356,Laptop
Intel Xeon E5-2650L,Xeon E5 2650L,Intel,5929,8,70.0,LGA 2011,Server
AMD Ryzen Embedded V1404I,Ryzen Embedded V1404I,AMD,5917,4,15.0,unknown,"Desktop, Mobile/Embedded"
